"y","temp","rain","wet","snow","cloud","dust","sunny","semester","past_return","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m25","m35","m45","m50","m55","m65","f15","f20","f25","f35","f50","f60","f65","f70","bus_passenger","sub_passenger"
4,1.7,0,43,0,4,35,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2721.8669,1460.7442,1311.0648,1217.4117,1066.5346,542.9097,1117.9918,4305.2457,2941.0495,1398.3945,1044.9356,807.4246,629.8864,1360.3603,407,1661
1,2,0,43,0,6,37,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2828.2211,1520.8883,1334.6582,1235.0978,1092.2724,541.6243,1331.7675,4551.2047,2947.6832,1423.4154,1042.1027,841.7481,617.1358,1314.2719,409,1746
0,2.2,0,48,0,6,33,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2861.655,1563.615,1273.3366,1182.228,1004.7152,503.9378,1509.9943,4622.7266,3001.5806,1458.7331,987.4939,844.4154,633.3601,1320.5806,475,2078
3,2.3,0,49,0,7,37,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2945.7799,1541.2622,1286.7302,1200.9963,931.7262,509.5979,1773.7533,4704.3098,3014.8984,1330.0928,1036.4946,837.3723,575.3131,1322.5985,576,2675
1,1.6,0,56,0,8,38,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3144.4974,1580.843,1265.1751,1119.0981,862.4286,528.022,2060.307,5077.701,3165.3341,1307.0461,969.4632,794.8837,591.3638,1304.803,626,3455
9,1.3,0,58,0,9,31,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3613.3573,1658.274,1371.9742,1149.0736,922.902,510.3344,2215.459,5727.6594,3976.3613,1477.9913,969.3633,790.7419,613.0449,1259.3332,939,4126
4,1.3,0,65,0,9,21,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3726.0957,1653.4535,1213.1551,1018.1303,864.4499,491.4713,2102.8311,5850.444,4043.4377,1431.2488,904.3468,784.2587,628.8605,1230.6667,729,2725
3,1.2,0,68,0,9,22,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3683.61,1583.3262,1167.5954,952.5821,816.706,479.5888,1698.0712,5604.409,3963.7459,1380.969,849.9934,732.2397,628.7436,1215.3251,627,3443
2,1.1,0,74,0,9,29,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3461.494,1515.8027,1045.0666,884.6691,776.5617,450.1245,1002.9422,5014.7695,3702.9449,1354.3022,837.7435,753.9444,618.7889,1199.8616,723,3962
5,0.9,0,75,0,8,28,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3518.1665,1424.2559,1037.7303,845.0835,744.7992,441.0624,810.8642,4899.2655,3708.7899,1286.4655,792.4223,721.0197,598.7396,1186.8485,362,1166
1,0.6,0,75,0,9,27,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3416.9302,1333.3334,970.2347,749.8151,743.2161,424.8363,624.7277,4984.0756,3580.1829,1181.4152,717.6586,635.2793,505.2386,1145.3585,203,319
1,0.7,0,81,0,9,30,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3449.8626,1298.8684,963.4141,766.7922,709.9803,418.9969,605.8332,5007.5642,3637.2328,1207.9439,711.7672,641.0496,512.173,1212.3185,65,1
2,0.7,0,81,0,9,31,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3456.5987,1292.2232,961.2036,779.3861,705.5771,414.6474,582.792,4980.5129,3665.298,1238.0208,684.1675,638.1279,519.4533,1187.8481,17,0
0,-0.4,0,77,0,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3478.9939,1299.4078,972.9738,809.4018,734.9129,417.1738,612.6588,4990.509,3660.8975,1229.7883,703.6787,636.5435,506.6489,1209.5271,19,0
1,-1.6,0,78,0,0,27,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3470.7597,1304.0884,963.7398,799.5994,700.7751,408.4671,605.7831,5009.4618,3645.3716,1233.1164,692.8638,633.1964,506.116,1197.8386,13,0
1,-2.2,0,76,0,0,40,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3507.3218,1310.1349,1006.9669,795.2073,705.018,417.227,584.2396,5006.1417,3644.9303,1208.7816,704.1759,630.0459,492.5156,1176.5258,37,12
2,-2.9,0,74,0,0,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3528.7522,1302.2315,1001.119,823.1289,727.137,443.7448,608.1986,4987.1576,3658.787,1209.1864,697.6113,652.5745,517.363,1188.0812,73,533
3,-3.6,0,73,0,0,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3460.1136,1358.1896,1011.561,859.3558,801.5231,455.1808,581.5113,4950.9677,3614.7621,1277.9817,718.2116,665.3061,531.4881,1204.6782,165,879
3,-4,0,76,0,0,37,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3341.18,1409.4014,1171.3598,952.5671,948.0406,471.0293,621.6162,4735.728,3485.6262,1283.4648,801.5529,672.485,567.9657,1270.5529,409,2390
9,-4.6,0,75,0,0,42,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2885.0788,1439.1881,1247.1875,1030.6452,923.6226,528.4385,755.4508,4435.8508,3148.3347,1373.5342,911.8173,761.902,569.5154,1310.776,703,4454
4,-4.3,0,73,0,0,41,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2692.5035,1484.9312,1271.5629,1049.6416,1016.4731,507.5462,742.958,4089.8537,2878.7932,1351.6933,933.4412,771.5786,623.2557,1362.727,563,2763
2,-3.5,0,66,0,0,43,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2649.8149,1626.0089,1334.0195,1116.5761,1080.6244,535.5387,707.7921,4018.2643,2853.2876,1417.7404,988.5911,805.8685,602.1127,1389.6236,339,1469
0,-1.9,0,55,0,0,42,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2658.0089,1552.6038,1308.7639,1104.4923,997.706,506.5349,769.4529,4008.8564,2936.7126,1472.2093,969.2849,790.0707,563.289,1418.5423,308,1379
2,-0.6,0,45,0,0,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2720.6444,1497.8116,1313.2655,1094.7253,1018.4863,493.4305,1064.8502,4202.652,2971.0811,1468.1053,967.2959,808.3733,586.3449,1323.5624,370,1599
2,-0.5,0,43,0,0,43,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2704.3944,1506.2213,1326.4952,1142.2775,1120.3341,518.293,1102.9943,4289.9368,3010.1518,1465.6131,993.7276,816.125,632.3722,1423.9683,467,1782
0,0,0,37,0,0,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2684.0141,1569.0751,1339.2199,1180.6273,1063.6873,491.0259,1232.4237,4528.7112,2990.4077,1468.4375,1053.8112,843.3569,637.2655,1356.8135,409,1826
