"y","temp","rain","wind","wet","cloud","dust","temp.sqr","sunny","semester","past_return","X1_2","X2_3","X3_4","X4_5","X5_6","X7_8","X8_9","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m5","m25","m45","m50","m55","m65","m70","f10","f20","f30","f35","f40","f50","bus_passenger","sub_passenger"
0,0.7,0,1.6,81,9,30,0.49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444.4648,3449.8626,963.4141,766.7922,709.9803,418.9969,782.3677,154.3335,5007.5642,1887.471,1207.9439,698.8754,711.7672,65,1
0,0.7,0,1.3,81,9,31,0.49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428.2473,3456.5987,961.2036,779.3861,705.5771,414.6474,793.1148,160.2783,4980.5129,1892.3083,1238.0208,727.4408,684.1675,17,0
0,-0.4,0,2.4,77,0,30,0.16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439.4328,3478.9939,972.9738,809.4018,734.9129,417.1738,772.5876,158.1625,4990.509,1920.5468,1229.7883,710.2491,703.6787,19,0
0,-1.6,0,2,78,0,27,2.56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445.6092,3470.7597,963.7398,799.5994,700.7751,408.4671,795.8666,161.0678,5009.4618,1906.5811,1233.1164,703.2089,692.8638,13,0
0,-2.2,0,2.5,76,0,40,4.84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.3701,3507.3218,1006.9669,795.2073,705.018,417.227,775.9919,160.9701,5006.1417,1913.1474,1208.7816,708.6911,704.1759,37,12
0,-2.9,0,3.3,74,0,30,8.41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436.69,3528.7522,1001.119,823.1289,727.137,443.7448,811.6538,160.815,4987.1576,1936.3364,1209.1864,729.2817,697.6113,73,533
2,-3.6,0,2.6,73,0,33,12.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457.1604,3460.1136,1011.561,859.3558,801.5231,455.1808,810.804,162.5245,4950.9677,1956.8949,1277.9817,756.5117,718.2116,165,879
1,-4,0,2.5,76,0,37,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489.7856,3341.18,1171.3598,952.5671,948.0406,471.0293,819.309,182.6413,4735.728,1936.5794,1283.4648,762.7603,801.5529,409,2390
7,-4.6,0,1.9,75,0,42,21.16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708.9889,2885.0788,1247.1875,1030.6452,923.6226,528.4385,862.0225,190.8914,4435.8508,1764.2484,1373.5342,898.8889,911.8173,703,4454
4,-4.3,0,3.8,73,0,41,18.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802.3288,2692.5035,1271.5629,1049.6416,1016.4731,507.5462,895.6861,202.5419,4089.8537,1700.6607,1351.6933,1023.4973,933.4412,563,2763
1,-3.5,0,2.8,66,0,43,12.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745.1764,2649.8149,1334.0195,1116.5761,1080.6244,535.5387,882.974,186.5443,4018.2643,1726.2785,1417.7404,1124.0373,988.5911,339,1469
0,-1.9,0,3.2,55,0,42,3.61,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,871.9803,2658.0089,1308.7639,1104.4923,997.706,506.5349,842.2518,209.3871,4008.8564,1713.4265,1472.2093,1119.5857,969.2849,308,1379
1,-0.6,0,2.5,45,0,43,0.36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,870.0727,2720.6444,1313.2655,1094.7253,1018.4863,493.4305,896.2076,227.6871,4202.652,1695.3672,1468.1053,1054.4294,967.2959,370,1599
2,-0.5,0,2.9,43,0,43,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,989.5104,2704.3944,1326.4952,1142.2775,1120.3341,518.293,894.3292,231.1731,4289.9368,1759.9491,1465.6131,1098.4005,993.7276,467,1782
1,0,0,3.6,37,0,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,937.4322,2684.0141,1339.2199,1180.6273,1063.6873,491.0259,974.4273,264.8813,4528.7112,1747.3041,1468.4375,1105.8834,1053.8112,409,1826
1,0.9,0,3.5,32,0,52,0.81,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1068.2919,2816.5996,1305.28,1160.9242,982.3819,552.0688,873.5649,279.9341,4624.7426,1740.7127,1473.7527,1031.82,1031.6571,534,2153
