"y","past_return","bus_passenger","temp","sub_passenger","m5","m70","m45","m65","wet","m20","f15","f35","f50","f55","m60","f0","m35","f70","m0","f40","dust","f65","m50","m55","m30","m40","m25","wind","sunny","f45","f20","f60","f30","f25","most_use","X8_9","cloud","rain","semester","temp.sqr"
0,0,116,-4.4,296,412.8902,750.5164,983.0021,409.5073,48,2702.1775,635.5786,1167.7962,693.2796,641.8205,527.5285,302.5978,1322.5,1144.6911,454.4504,711.2368,26,500.2525,746.819,704.2859,1756.178,892.449,3454.4892,2.9,0,705.2005,4753.8475,613.1592,1853.8448,3512.6591,20523.4923,0,0,0,0,19.36
0,0,54,-5.2,0,429.0108,760.0452,991.3523,412.3134,51,2739.8139,630.3021,1180.2811,685.142,640.3266,527.1577,298.2608,1301.7749,1090.2994,470.1789,689.1734,27,494.7284,731.7209,702.5412,1746.7593,898.57,3483.7838,1.6,0,710.2858,4745.3337,623.4963,1867.0894,3556.0776,20620.9137,0,1,0,0,27.04
0,0,28,-5.8,0,434.1726,768.6048,953.1996,402.6155,52,2757.503,650.0474,1171.9583,681.5611,647.3592,519.202,288.5762,1298.267,1091.5168,451.7634,663.4489,29,496.2779,748.8319,699.2396,1760.4701,884.6295,3502.4904,2.1,0,723.9464,4775.0704,636.0671,1899.451,3567.5378,20732.748,0,0,0,0,33.64
0,0,21,-6.4,0,417.6675,754.1195,957.8903,407.4006,56,2772.7609,671.1149,1184.0139,681.0465,640.2234,507.8375,285.7222,1314.0017,1121.5832,464.014,662.989,25,502.6214,757.3202,683.5991,1754.8118,901.255,3491.2571,1.7,0,722.0812,4815.8483,631.7989,1887.8221,3579.102,20799.6178,0,5,0,0,40.96
0,0,9,-7,0,438.2313,759.2225,965.8599,390.0664,59,2780.6139,687.2134,1176.7656,687.0972,632.5592,493.8672,302.9079,1299.2547,1092.3598,494.9173,675.5828,21,504.5646,749.408,719.0592,1754.4657,904.8807,3487.9432,1.6,0,724.244,4798.7789,633.0392,1884.7284,3579.6345,20762.1849,0,2,0,0,49
0,0,35,-7.2,10,446.1406,770.3506,970.6791,397.9289,61,2803.1913,678.9458,1212.531,698.4787,656.7043,502.8778,307.4638,1301.6667,1133.1607,507.3804,685.3887,30,478.4149,742.6971,708.5429,1779.2022,894.8631,3518.3709,1.3,0,723.0045,4752.0265,631.4011,1880.5437,3579.2221,20826.7544,0,3,0,0,51.84
0,0,64,-7.4,565,440.6551,793.6769,1008.9347,409.5458,59,2795.1302,675.2878,1226.4843,712.693,666.4392,530.6742,291.5509,1292.5421,1113.8521,445.032,683.1681,24,483.2726,762.1957,727.9901,1789.8582,915.6993,3487.6214,0.3,0,709.2058,4772.6754,659.0093,1910.9327,3560.5171,20835.7614,0,2,0,0,54.76
0,0,173,-7.8,892,459.447,819.6501,996.9741,434.1096,55,2756.9281,674.2249,1238.8622,696.985,722.7125,536.3459,301.4263,1361.1127,1165.0858,460.1583,683.3059,22,523.1746,789.6308,774.9457,1791.7569,926.5137,3454.61,2.1,0,731.2445,4694.4118,642.1534,1890.5477,3569.0227,20757.2521,0,1,0,0,60.84
0,0,344,-7.7,2435,430.9352,858.7583,1149.7792,484.3968,54,2652.1441,658.9151,1310.0714,772.7932,779.1232,598.5327,352.3485,1453.0328,1267.5847,487.1381,743.9412,21,534.9,895.0344,844.6391,1801.4965,1025.6266,3324.0483,2,0,802.7161,4636.7636,697.5645,1902.6712,3455.4277,20535.6556,0,0,0,0,59.29
5,0,712,-7.6,4472,644.902,869.331,1208.1979,517.2983,55,2519.3405,743.7441,1263.8432,936.5414,843.9229,643.2286,375.8258,1426.351,1304.7471,436.3641,925.8083,25,533.7396,1018.9741,913.6478,1648.7732,1119.5196,2847.9055,1.6,0,924.3551,4270.768,728.622,1705.8362,3084.5751,18767.3927,1,1,0,0,57.76
0,2,484,-6.9,2597,672.8843,922.4688,1250.4559,549.8313,55,2482.0831,686.4385,1285.0733,915.2747,895.3672,736.8433,376.2878,1395.7268,1391.9837,468.4626,940.7677,23,562.8275,1103.368,1001.3734,1612.2712,1181.4821,2662.0406,1.7,0,1035.5256,3956.3774,767.7525,1671.153,2871.5283,17936.2537,0,1,0,0,47.61
0,0,332,-4,1361,744.7539,859.6573,1312.3121,514.519,55,2511.324,754.2041,1342.5714,943.9601,910.2718,746.2477,362.6595,1439.9264,1392.7046,509.9497,1009.0316,20,586.9194,1166.6949,1056.6613,1640.1081,1159.787,2688.0373,1.2,0,1173.343,3960.7385,765.2355,1675.3203,2821.1083,18079.1343,0,2,0,0,16
2,0,306,-1.4,1430,878.6157,906.669,1295.4737,551.6107,44,2534.5863,863.6813,1418.3272,946.7855,919.8563,717.0376,430.8532,1466.3247,1475.7007,517.4044,1043.2783,32,593.273,1122.7146,1081.0416,1662.9091,1156.4928,2626.2692,1.5,0,1104.404,4061.4116,776.9227,1684.9537,2868.6999,18323.4817,0,0,0,0,1.96
2,2,350,0.9,1601,857.3689,926.741,1293.3652,541.5435,36,2710.3982,1014.0743,1447.0067,1008.2463,921.7864,739.0346,371.4619,1510.9998,1309.883,458.3968,1013.2716,38,622.8533,1154.8022,1075.5495,1720.4887,1224.5282,2693.7614,2.1,0,1121.1977,4233.7315,798.234,1625.2388,2922.4458,18864.0709,0,2,0,0,0.81
1,3,407,1.7,1661,776.4583,956.0724,1311.0648,542.9097,43,2856.6664,1117.9918,1398.3945,1044.9356,930.1997,759.8518,477.6398,1460.7442,1360.3603,554.3713,1056.2872,35,629.8864,1217.4117,1066.5346,1717.156,1210.1774,2721.8669,2.8,1,1156.7422,4305.2457,807.4246,1699.0385,2941.0495,19100.1617,0,4,0,0,2.89
0,0,409,2,1746,774.643,924.2738,1334.6582,541.6243,43,2913.5869,1331.7675,1423.4154,1042.1027,1000.6554,737.439,405.9336,1520.8883,1314.2719,451.932,1152.2567,37,617.1358,1235.0978,1092.2724,1716.8676,1277.6667,2828.2211,2.4,1,1176.4602,4551.2047,841.7481,1718.2784,2947.6832,19620.1456,0,6,0,0,4
0,0,475,2.2,2078,862.0225,908.7911,1273.3366,503.9378,48,3048.8963,1509.9943,1458.7331,987.4939,964.4287,739.1344,421.9394,1563.615,1320.5806,518.499,1115.5868,33,633.3601,1182.228,1004.7152,1743.0036,1279.4113,2861.655,2.2,1,1213.4825,4622.7266,844.4154,1732.9643,3001.5806,20033.1745,0,6,0,0,4.84
0,0,576,2.3,2675,1113.7642,924.7538,1286.7302,509.5979,49,3128.9349,1773.7533,1330.0928,1036.4946,913.6478,703.575,401.7319,1541.2622,1322.5985,527.9048,1060.8693,37,575.3131,1200.9963,931.7262,1758.573,1264.2411,2945.7799,2.4,1,1165.018,4704.3098,837.3723,1653.7936,3014.8984,20077.6446,0,7,0,0,5.29
0,0,626,1.6,3455,1462.203,918.6571,1265.1751,528.022,56,3566.9292,2060.307,1307.0461,969.4632,912.9846,662.4177,470.282,1580.843,1304.803,478.9472,1050.205,38,591.3638,1119.0981,862.4286,1832.8592,1260.9816,3144.4974,3,1,1125.9201,5077.701,794.8837,1699.6399,3165.3341,21374.8499,0,8,0,0,2.56
3,0,939,1.3,4126,1744.4481,933.1072,1371.9742,510.3344,58,4113.3908,2215.459,1477.9913,969.3633,952.0257,717.9191,458.8049,1658.274,1259.3332,486.4166,1075.355,31,613.0449,1149.0736,922.902,2164.098,1358.0766,3613.3573,1.9,1,1187.7941,5727.6594,790.7419,2191.8572,3976.3613,24922.9893,0,9,0,0,1.69
3,5,729,1.3,2725,1583.4592,876.745,1213.1551,491.4713,65,4065.1125,2102.8311,1431.2488,904.3468,909.9748,650.9527,461.8789,1653.4535,1230.6667,477.2858,979.0794,21,628.8605,1018.1303,864.4499,2131.5452,1230.2638,3726.0957,2.6,1,1112.8779,5850.444,784.2587,2116.7063,4043.4377,25018.0437,0,9,0,0,1.69
0,1,627,1.2,3443,1381.3895,848.6156,1167.5954,479.5888,68,3789.5552,1698.0712,1380.969,849.9934,842.1525,590.3687,466.3662,1583.3262,1215.3251,497.7466,899.9572,22,628.7436,952.5821,816.706,2130.5112,1089.3896,3683.61,1.8,1,1040.8249,5604.409,732.2397,2055.64,3963.7459,24191.7665,0,9,0,0,1.44
0,0,723,1.1,3962,873.1528,876.2562,1045.0666,450.1245,74,3060.5916,1002.9422,1354.3022,837.7435,787.7225,607.2116,408.4166,1515.8027,1199.8616,531.9859,788.8963,29,618.7889,884.6691,776.5617,1987.1486,994.5742,3461.494,2.8,1,999.9461,5014.7695,753.9444,1898.2962,3702.9449,21995.3497,0,9,0,0,1.21
1,0,362,0.9,1166,609.4041,871.3815,1037.7303,441.0624,75,2813.8935,810.8642,1286.4655,792.4223,753.3699,579.0217,403.045,1424.2559,1186.8485,497.0972,740.4864,28,598.7396,845.0835,744.7992,1926.8968,896.9688,3518.1665,1.5,0,979.5203,4899.2655,721.0197,1918.2531,3708.7899,21495.9867,0,8,0,0,0.81
