"y","station_dist","station_type","temp","rain","wet","cloud","temp.sqr","semester","past_return","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m5","m25","m30","m40","m50","m55","m65","m70","f10","f25","f35","f55","f70","bus_passenger","m0","f65"
8,232,0,24.1,0,30,9,580.81,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1629.8898,3088.8319,1716.8439,1246.499,1130.3716,1047.1307,537.2978,900.0179,276.3729,3205.8353,1436.9685,1020.2901,1259.4461,624,625.881,598.4791
4,34,0,7.6,0,59,1,57.76,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,443.3017,1465.0219,1107.2627,670.6059,573.9384,601.8788,325.5819,556.4198,215.418,1579.4117,1003.6227,577.7674,979.7258,256,394.0118,379.3189
1,60,0,23.4,0,65,0,547.56,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,398.2898,813.0817,653.4261,600.1552,521.1625,552.3608,293.1275,602.6467,711.8145,843.2703,844.2271,591.4966,919.7365,320,1175.1446,390.1762
2,73,0,28.5,0,61,4,812.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,85.3883,529.1751,564.2772,612.2688,557.2145,650.0916,316.8799,563.7614,91.3737,550.1922,517.9726,615.494,883.2583,181,247.6057,312.4901
0,37,1,4.4,0,44,9,19.36,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1100.5949,962.4854,1123.7549,1298.1622,1092.9001,1039.0067,560.9827,1078.0957,774.8949,1247.3906,1255.6025,1268.8638,1656.7764,323,1206.6917,743.0579
1,128,0,-5.7,0,70,8,32.49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720.2739,662.6191,765.8671,865.858,691.243,757.583,409.0217,890.0569,492.1433,901.7544,950.6011,931.6847,1432.6683,607,724.3049,633.4822
4,92,0,29,0,48,1,841,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,526.9895,547.5693,633.8116,659.6088,619.9391,680.2511,385.2595,833.6798,436.0985,571.5868,825.3959,664.9449,1118.2322,296,1168.1271,505.4546
4,115,0,1.9,0,40,9,3.61,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,565.2735,915.4561,860.2401,856.9382,974.2685,911.6845,524.4963,879.4889,230.1966,1020.1401,966.6392,1032.9902,1515.2735,250,464.8199,666.2308
0,43,0,7.8,0,48,9,60.84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732.0253,784.876,654.3496,699.5524,653.7855,612.0338,428.3489,870.1251,496.4293,827.0107,933.1184,961.2015,1324.4696,304,1101.4875,601.4342
1,71,0,23.3,2,97,10,542.89,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,643.6927,846.2634,725.9084,905.7092,829.7381,823.6791,504.9996,874.8446,461.8302,905.8631,1145.2396,1127.9827,1317.7165,275,962.2167,594.0919
2,225,0,19.5,0,83,9,380.25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,480.1967,1037.986,1057.7515,1203.8909,1209.4065,943.911,560.025,1027.7074,388.7323,1209.6744,1306.7794,1228.2057,1704.4219,439,657.1676,755.1015
0,92,1,-0.7,0,61,10,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395.7947,968.1449,969.2781,792.6211,771.4207,769.4582,348.622,795.1567,354.0583,1153.6996,1109.2472,979.5088,1368.6621,10,798.1604,621.5962
2,395,0,24.3,0,58,7,590.49,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,448.3377,523.1484,587.6942,617.6395,619.976,628.6796,409.0403,800.6774,271.8105,559.9902,793.9824,672.8003,1099.5232,274,832.2001,480.7245
0,89,0,9,0,44,5,81,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1308.5953,830.8441,759.4136,1485.3468,1472.4708,1196.7165,683.6644,1295.2284,1320.6129,929.2833,1297.7794,1359.7156,1587.9317,158,1626.5459,687.3284
