"y","past_return","sub_passenger","station_dist","bus_passenger","temp","m50","m25","m30","m35","f60","m20","m5","station_type","f50","f30","f70","f0","f15","f45","m40","m55","m45","f20","m0","m70","m60","wind","f55","f40","f65","f25","wet","f35","dust","m65","most_use","cloud","sunny","X16_17","temp.sqr","X8_9","X7_8","rain","semester","X19_20","X12_13"
0,1,4344,546,628,22.2,970.009,5219.9324,2367.1253,1650.8568,696.2743,5722.3321,1675.9735,0,867.3329,2195.3528,1189.8652,551.0705,1826.4949,989.0948,1113.3089,878.5475,1177.2539,7386.4658,529.4331,868.5096,654.5783,2.5,851.4481,968.736,636.1332,4773.797,48,1445.5116,7,465.5006,30761.3738,0,1,0,492.84,0,0,0,1,0,0
0,1,2921,554,562,30.3,904.076,3495.9907,2035.6545,1680.1934,736.2849,3749.6478,1119.7173,0,986.8023,2017.5822,1259.1261,733.9798,1380.477,1074.4714,1129.4038,863.8041,1134.0956,4987.7457,702.9874,922.8138,570.6904,3.2,983.4776,1081.7755,597.7555,3745.6204,71,1505.7853,63,444.7897,23218.22,8,1,0,918.09,0,0,0,0,0,0
5,1,1672,83,362,16.5,1084.2967,2918.3113,1681.0645,1517.5222,800.5618,4168.4796,1422.6175,0,1034.4204,1730.8059,1269.8916,407.7092,1575.0251,1165.2965,1115.376,1152.8499,1287.482,5488.4233,532.6251,895.2128,738.433,3.8,1060.2437,1169.9979,641.0694,3063.4423,41,1522.8865,69,511.0175,22090.9356,2,1,0,272.25,0,0,0,1,0,0
0,3,4340,37,697,-0.8,963.5895,4220.8134,2291.7142,1695.95,684.9362,4272.9363,1565.9767,0,933.5433,2225.8611,1239.887,413.721,1998.7633,1075.2779,1187.0138,916.699,1210.5434,6397.0454,490.9385,860.1745,596.8036,1.7,937.2101,912.5175,571.8598,4389.1602,49,1518.3206,62,525.1684,27011.8012,0,0,0,0.64,0,0,0,0,0,0
0,0,549,546,85,-7.4,709.7741,3629.0459,1819.4553,1303.5369,627.6535,2974.7881,472.5358,0,744.6194,2028.9341,1180.3403,349.9172,704.174,757.4739,938.4849,762.8709,1079.6494,5230.6951,430.9671,821.4156,514.2947,1.9,710.3772,792.8073,564.0378,3833.3869,55,1313.7691,47,403.3099,22133.6114,0,0,0,54.76,0,0,0,0,0,0
15,4,4142,546,843,29.5,1162.2209,3064.6886,1809.4229,1612.4181,726.5754,4847.5682,1426.2719,0,1091.3184,1821.8331,1195.9696,629.8825,1945.6368,1169.1783,1276.7924,1022.4056,1196.9383,6540.6747,472.1321,908.9108,690.2696,3.8,929.7845,1021.0815,536.1787,3319.6812,45,1382.3156,29,434.4867,24398.6024,1,1,0,870.25,0,0,0,1,0,0
0,0,5203,51,768,-7,881.6048,3948.172,2104.9146,1374.5546,648.0834,3256.7201,796.8135,0,884.8831,1880.8022,1186.8513,375.0086,989.7038,793.1583,1012.0634,832.9071,1043.4667,5030.9519,531.5842,838.8966,598.2718,1.2,773.8172,804.8427,560.7338,3933.7662,52,1292.2632,15,429.0045,22822.1448,0,0,0,49,0,0,0,0,0,0
0,3,1849,51,381,24.6,914.0363,3275.6473,1924.0614,1355.8017,643.7223,3731.3412,798.8228,0,793.3946,1809.9911,1228.9968,365.7416,1194.7882,938.1681,961.7322,826.3587,1078.468,5262.4898,539.3835,883.4715,543.7069,1.9,809.8185,845.908,579.6476,3449.4209,53,1241.8874,15,461.3969,22050.6408,8,1,0,605.16,0,0,0,1,0,0
6,8,0,37,71,18,900.1942,4421.1825,2076.915,1510.5618,653.1405,4807.278,1245.9588,0,794.8112,2052.4467,1278.3877,402.4632,1575.8317,778.9644,1041.2566,774.6461,1059.4683,6692.4464,473.9326,802.2471,531.2407,1.1,663.3598,826.7526,560.9288,4407.0081,45,1356.2819,20,393.7432,27324.1204,7,1,0,324,0,0,0,1,0,0
4,5,3098,232,578,15.5,1166.0255,3044.2787,1616.2937,1415.3928,812.3442,4156.2141,1482.8601,0,1067.2754,1698.7187,1587.3528,412.1692,1494.9939,1185.212,1268.7978,998.821,1282.8703,6164.8003,563.9419,889.8882,729.8332,3.2,886.2292,1192.4889,605.9604,3117.0145,95,1457.5856,8,536.4881,22670.2984,10,0,0,240.25,0,0,1,1,0,0
0,0,0,51,52,-12.8,787.8204,3802.625,1993.5202,1502.0237,615.3209,3691.4399,762.1362,0,753.8204,2035.5647,1244.1481,352.5818,979.1332,871.7499,986.0507,826.6804,1008.5669,6009.913,402.754,783.4079,544.7829,4.7,705.2708,754.8086,487.3114,4115.3056,63,1319.329,28,433.6311,24469.7211,1,0,0,163.84,0,0,0,0,0,0
4,4,1227,37,362,-3,760.1327,3930.2107,1975.5689,1442.4412,651.2355,4378.0405,1027.3633,0,766.3021,2071.2504,1146.9501,321.8398,1202.0643,782.3335,881.3305,815.1288,1042.0348,6785.6968,393.904,795.6291,562.3549,1.1,698.6594,781.5188,520.7266,4260.7414,56,1283.4514,32,363.5628,26127.4013,0,0,0,9,0,0,0,1,0,0
10,16,3069,128,783,22.8,1029.9963,4006.0602,2181.5155,1816.8244,797.3827,5176.643,1987.5144,0,1024.0976,2388.3298,1353.9251,507.9684,2522.7681,1061.7485,1430.131,1088.8408,1369.9228,7443.6142,524.9982,987.6829,696.5618,3.5,949.6322,1046.9876,676.2123,4475.5388,53,1694.6431,81,527.4565,29183.169,0,1,0,519.84,0,0,0,1,1,0
0,0,928,113,126,16.5,839.6071,3738.0961,1937.7645,1349.2423,660.9877,3949.9211,911.0579,0,737.7246,2014.2564,1269.3196,321.6854,1205.5316,794.1762,876.2196,744.9482,1026.4372,6305.7322,446.9867,819.072,554.023,2.1,709.4892,795.3548,507.6379,3978.6761,82,1359.0855,36,396.4754,24632.7742,4,1,0,272.25,0,0,0,1,0,0
0,1,1014,232,183,10.6,821.8524,3606.9229,1949.9243,1294.8099,640.1924,3583.5033,702.2164,0,755.9347,1824.8705,1126.2784,417.5119,992.8423,838.183,936.1127,799.0241,1014.2125,5718.8595,422.3557,746.5652,570.5332,1.8,698.771,724.223,524.6519,3839.4992,86,1372.2425,43,424.1507,23190.6321,8,1,0,112.36,0,1,0,1,0,0
1,3,2810,113,593,8.3,987.1269,3973.3775,2128.546,1582.7315,731.5253,4764.0187,1307.8313,0,905.7019,2122.6255,1262.6412,463.3748,1659.2308,955.0112,1092.6881,862.1995,1260.2043,7318.1056,464.8195,885.9022,674.2923,2.7,869.2798,894.3462,582.3993,4350.2407,70,1485.1457,9,487.9988,27724.7912,2,1,0,68.89,0,0,0,1,0,0
3,2,0,51,80,22.7,866.6061,3976.2502,2026.0203,1512.5064,689.4834,4366.4944,1011.8067,0,780.6468,1979.8784,1173.8438,383.6549,1335.057,770.1067,894.8338,735.5355,960.3548,6500.9537,478.8193,816.9714,579.3931,0.9,627.2821,760.996,529.893,4077.1167,85,1244.7409,13,388.5221,25683.961,6,0,0,515.29,0,0,0,1,0,0
7,3,2238,17,518,23.8,1272.5722,3008.6373,1807.3867,1703.209,827.8857,4509.7606,1779.5369,1,1085.7341,1848.7103,1353.789,397.1522,2373.7535,1176.7858,1475.1673,1140.2564,1485.0842,5844.792,611.4994,1027.6335,747.1268,4.3,1037.0061,1224.6511,705.3098,3213.8264,46,1563.9017,58,523.026,23500.224,9,1,0,566.44,0,0,0,1,0,0
1,0,789,232,171,-2.2,687.7629,2979.8742,1677.396,1186.7689,650.1473,2445.8786,566.1793,0,691.9868,1686.3704,1176.5494,317.0563,582.732,738.8499,872.3767,772.8655,891.3126,4060.9573,449.7321,734.9286,530.9345,2,641.7601,683.126,537.8985,2869.5038,83,1089.1511,54,445.4824,17995.9003,8,0,0,4.84,1,0,0,0,0,0
3,5,1712,83,370,27.3,1080.0704,2762.3231,1632.4342,1451.6526,758.7829,3643.4221,1072.6634,0,1041.6535,1717.8056,1336.9104,372.6751,1127.1229,1225.1338,1145.4193,967.2206,1335.1294,5036.1171,720.2212,911.0875,713.1566,2.5,992.2906,1223.0624,623.131,3026.9567,66,1485.7141,36,468.8595,20756.4255,7,1,0,745.29,0,0,0,0,0,0
9,15,2696,17,691,12.4,1019.0735,4150.3792,2206.8685,1882.9545,690.2412,5256.3531,2015.2547,1,1001.6918,2199.7384,1239.821,337.7457,2455.3892,1012.5171,1245.4036,949.6949,1360.4651,7165.6268,478.7027,875.0126,660.7319,2.1,925.2154,1025.4053,621.5399,4434.8839,54,1491.0416,60,490.3822,28787.846,2,1,0,153.76,0,0,0,1,1,0
5,6,4191,51,785,29,1179.9159,3331.3936,1849.1781,1656.9334,792.1396,4568.1842,1577.6868,0,1098.1875,1782.6939,1388.6485,488.0766,1883.6942,1271.2524,1268.8204,923.2876,1324.2849,6234.7819,568.1556,991.7399,688.3116,3.8,977.2654,1108.3786,657.8013,3515.8774,52,1497.2278,94,522.367,24436.2703,8,1,0,841,0,0,0,1,0,0
