"y","station_dist","station_type","rain","wet","cloud","dust","temp.sqr","sunny","semester","past_return","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X19_20","X20_21","X21_22","X22_23","X23_24","m10","m5","m20","m25","m50","m60","m70","f0","f10","f25","f30","f50","bus_passenger","sub_passenger"
0,37,0,0,49,0,62,0.64,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,226.5867,1565.9767,4272.9363,4220.8134,963.5895,596.8036,860.1745,413.721,192.1305,4389.1602,2225.8611,933.5433,697,4340
0,546,0,0,55,0,47,54.76,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.9081,472.5358,2974.7881,3629.0459,709.7741,514.2947,821.4156,349.9172,162.5006,3833.3869,2028.9341,744.6194,85,549
15,546,0,0,45,1,29,870.25,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,217.9067,1426.2719,4847.5682,3064.6886,1162.2209,690.2696,908.9108,629.8825,292.5158,3319.6812,1821.8331,1091.3184,843,4142
0,51,0,0,52,0,15,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,245.3465,796.8135,3256.7201,3948.172,881.6048,598.2718,838.8966,375.0086,174.1528,3933.7662,1880.8022,884.8831,768,5203
0,51,0,0,53,8,15,605.16,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,248.946,798.8228,3731.3412,3275.6473,914.0363,543.7069,883.4715,365.7416,169.8495,3449.4209,1809.9911,793.3946,381,1849
6,37,0,0,45,7,20,324,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.7379,1245.9588,4807.278,4421.1825,900.1942,531.2407,802.2471,402.4632,186.9027,4407.0081,2052.4467,794.8112,71,0
4,232,0,1,95,10,8,240.25,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,260.2807,1482.8601,4156.2141,3044.2787,1166.0255,729.8332,889.8882,412.1692,191.4104,3117.0145,1698.7187,1067.2754,578,3098
0,51,0,0,63,1,28,163.84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.8858,762.1362,3691.4399,3802.625,787.8204,544.7829,783.4079,352.5818,163.7377,4115.3056,2035.5647,753.8204,52,0
4,37,0,0,56,0,32,9,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,181.8017,1027.3633,4378.0405,3930.2107,760.1327,562.3549,795.6291,321.8398,149.4611,4260.7414,2071.2504,766.3021,362,1227
10,128,0,0,53,0,81,519.84,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,242.306,1987.5144,5176.643,4006.0602,1029.9963,696.5618,987.6829,507.9684,235.899,4475.5388,2388.3298,1024.0976,783,3069
0,113,0,0,82,4,36,272.25,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.3012,911.0579,3949.9211,3738.0961,839.6071,554.023,819.072,321.6854,149.3898,3978.6761,2014.2564,737.7246,126,928
0,232,0,0,86,8,43,112.36,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.933,702.2164,3583.5033,3606.9229,821.8524,570.5332,746.5652,417.5119,193.8918,3839.4992,1824.8705,755.9347,183,1014
1,113,0,0,70,2,9,68.89,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,214.5319,1307.8313,4764.0187,3973.3775,987.1269,674.2923,885.9022,463.3748,215.19,4350.2407,2122.6255,905.7019,593,2810
3,51,0,0,85,6,13,515.29,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.9931,1011.8067,4366.4944,3976.2502,866.6061,579.3931,816.9714,383.6549,178.1678,4077.1167,1979.8784,780.6468,80,0
7,17,1,0,46,9,58,566.44,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,282.2302,1779.5369,4509.7606,3008.6373,1272.5722,747.1268,1027.6335,397.1522,184.4364,3213.8264,1848.7103,1085.7341,518,2238
1,232,0,0,83,8,54,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.5685,566.1793,2445.8786,2979.8742,687.7629,530.9345,734.9286,317.0563,147.2402,2869.5038,1686.3704,691.9868,171,789
3,83,0,0,66,7,36,745.29,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,332.4093,1072.6634,3643.4221,2762.3231,1080.0704,713.1566,911.0875,372.6751,173.0697,3026.9567,1717.8056,1041.6535,370,1712
9,17,1,0,54,2,60,153.76,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,220.9392,2015.2547,5256.3531,4150.3792,1019.0735,660.7319,875.0126,337.7457,156.8481,4434.8839,2199.7384,1001.6918,691,2696
5,51,0,0,52,8,94,841,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,262.2251,1577.6868,4568.1842,3331.3936,1179.9159,688.3116,991.7399,488.0766,226.6613,3515.8774,1782.6939,1098.1875,785,4191
3,83,0,0,65,9,31,870.25,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,232.6586,835.7163,3701.447,2990.1885,1213.5626,722.5193,1014.2355,562.1985,261.0832,3267.5226,1820.9636,1118.462,616,2287
2,546,0,0,62,8,12,278.89,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.2452,1082.2078,4455.9905,4102.9673,912.1237,586.5414,944.5517,356.8338,165.7125,4329.2282,2067.6419,858.9573,159,250
10,546,0,0,37,0,27,723.61,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,303.4313,1591.4481,4878.8015,2963.9873,1180.9584,727.5118,976.9136,508.2606,236.0346,3248.6075,1833.7588,1167.3623,472,0
2,17,1,0,69,10,20,118.81,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,273.5286,1391.7024,3673.0773,2846.2376,1087.6899,716.7492,948.0489,410.0249,190.4143,3195.6611,1710.7926,1033.5786,376,1538
1,611,0,0,68,0,59,54.76,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,224.0583,1742.781,4929.4316,4381.2034,878.4737,583.2784,886.0899,448.5162,208.2894,4302.5544,2096.5468,905.2078,426,2712
8,116,1,0,74,0,33,127.69,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.3911,791.4138,3672.7233,3582.9584,939.3769,594.3779,840.108,385.2309,178.9002,3818.9179,1936.6317,830.3606,546,2612
0,51,0,0,93,9,34,114.49,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.4791,884.8624,3669.0561,3651.9423,782.1551,497.0335,859.2553,354.6297,164.6892,3690.3251,1793.7339,734.8101,174,925
2,51,0,0,78,2,10,605.16,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.791,686.5185,3726.1207,3790.092,805.9079,525.8093,798.5626,387.4361,179.9244,3993.2463,1954.4803,765.8158,71,0
3,128,0,0,62,5,49,1030.41,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,257.4121,1039.2889,3694.1119,3109.2875,1263.4081,700.3539,888.4664,474.9542,220.5675,3150.824,1768.6968,1059.4752,731,3820
