"y","past_return","m20","m25","f15","temp","bus_passenger","f45","X17_18","sub_passenger","f50","m30","f20","wet","m50","m5","f55","m55","f70","f0","most_use","f30","X14_15","f40","f25","m0","m35","X16_17","m65","m40","m60","m45","f35","f60","m70","f65","dust","sunny","wind","cloud","X9_10","X12_13","semester","rain","X18_19","X11_12"
0,1,2519.3405,2847.9055,743.7441,-7.6,712,924.3551,0,4472,936.5414,1648.7732,4270.768,55,1018.9741,644.902,843.9229,913.6478,1304.7471,375.8258,18767.3927,1705.8362,0,925.8083,3084.5751,436.3641,1426.351,0,517.2983,1119.5196,643.2286,1208.1979,1263.8432,728.622,869.331,533.7396,25,0,1.6,1,0,0,0,0,0,0
2,6,2482.0831,2662.0406,686.4385,-6.9,484,1035.5256,0,2597,915.2747,1612.2712,3956.3774,55,1103.368,672.8843,895.3672,1001.3734,1391.9837,376.2878,17936.2537,1671.153,0,940.7677,2871.5283,468.4626,1395.7268,0,549.8313,1181.4821,736.8433,1250.4559,1285.0733,767.7525,922.4688,562.8275,23,0,1.7,1,1,0,0,0,0,0
1,3,2511.324,2688.0373,754.2041,-4,332,1173.343,0,1361,943.9601,1640.1081,3960.7385,55,1166.6949,744.7539,910.2718,1056.6613,1392.7046,362.6595,18079.1343,1675.3203,0,1009.0316,2821.1083,509.9497,1439.9264,0,514.519,1159.787,746.2477,1312.3121,1342.5714,765.2355,859.6573,586.9194,20,0,1.2,2,0,0,0,0,0,0
0,2,2534.5863,2626.2692,863.6813,-1.4,306,1104.404,0,1430,946.7855,1662.9091,4061.4116,44,1122.7146,878.6157,919.8563,1081.0416,1475.7007,430.8532,18323.4817,1684.9537,0,1043.2783,2868.6999,517.4044,1466.3247,0,551.6107,1156.4928,717.0376,1295.4737,1418.3272,776.9227,906.669,593.273,32,0,1.5,0,0,0,0,0,0,1
1,2,2710.3982,2693.7614,1014.0743,0.9,350,1121.1977,0,1601,1008.2463,1720.4887,4233.7315,36,1154.8022,857.3689,921.7864,1075.5495,1309.883,371.4619,18864.0709,1625.2388,0,1013.2716,2922.4458,458.3968,1510.9998,0,541.5435,1224.5282,739.0346,1293.3652,1447.0067,798.234,926.741,622.8533,38,0,2.1,2,0,1,0,0,0,0
1,4,2856.6664,2721.8669,1117.9918,1.7,407,1156.7422,0,1661,1044.9356,1717.156,4305.2457,43,1217.4117,776.4583,930.1997,1066.5346,1360.3603,477.6398,19100.1617,1699.0385,0,1056.2872,2941.0495,554.3713,1460.7442,0,542.9097,1210.1774,759.8518,1311.0648,1398.3945,807.4246,956.0724,629.8864,35,1,2.8,4,0,0,0,0,0,0
0,2,2913.5869,2828.2211,1331.7675,2,409,1176.4602,0,1746,1042.1027,1716.8676,4551.2047,43,1235.0978,774.643,1000.6554,1092.2724,1314.2719,405.9336,19620.1456,1718.2784,1,1152.2567,2947.6832,451.932,1520.8883,0,541.6243,1277.6667,737.439,1334.6582,1423.4154,841.7481,924.2738,617.1358,37,1,2.4,6,0,0,0,0,0,0
2,0,3048.8963,2861.655,1509.9943,2.2,475,1213.4825,0,2078,987.4939,1743.0036,4622.7266,48,1182.228,862.0225,964.4287,1004.7152,1320.5806,421.9394,20033.1745,1732.9643,0,1115.5868,3001.5806,518.499,1563.615,0,503.9378,1279.4113,739.1344,1273.3366,1458.7331,844.4154,908.7911,633.3601,33,1,2.2,6,0,0,0,0,0,0
7,0,3128.9349,2945.7799,1773.7533,2.3,576,1165.018,0,2675,1036.4946,1758.573,4704.3098,49,1200.9963,1113.7642,913.6478,931.7262,1322.5985,401.7319,20077.6446,1653.7936,0,1060.8693,3014.8984,527.9048,1541.2622,1,509.5979,1264.2411,703.575,1286.7302,1330.0928,837.3723,924.7538,575.3131,37,1,2.4,7,0,0,0,0,0,0
6,2,3566.9292,3144.4974,2060.307,1.6,626,1125.9201,1,3455,969.4632,1832.8592,5077.701,56,1119.0981,1462.203,912.9846,862.4286,1304.803,470.282,21374.8499,1699.6399,0,1050.205,3165.3341,478.9472,1580.843,0,528.022,1260.9816,662.4177,1265.1751,1307.0461,794.8837,918.6571,591.3638,38,1,3,8,0,0,0,0,0,0
