"y","past_return","bus_passenger","station_dist","temp","m5","m0","sub_passenger","wind","wet","X8_9","dust","f25","m40","m20","m30","f0","f15","m70","m65","m25","X14_15","cloud","m55","m35","m60","f70","f40","f65","m50","f60","f30","m45","f35","f45","f55","f20","X18_19","station_type","f50","rain","m10","most_use","f10","X9_10","semester","X16_17","X19_20","sunny","X22_23","X7_8"
7,1,113,82,25.5,1282.3481,858.9144,353,2.7,42,0,22,842.0945,1015.7763,894.011,719.2271,935.8271,1133.5005,1303.5465,634.7814,784.7911,0,7,1068.0736,1044.231,759.4928,1552.1963,1158.4387,678.3419,1201.0321,814.8851,907.1872,1360.9471,1233.9848,1493.9917,1171.2447,965.4369,0,0,1166.4135,0,726.1029,7390.9636,783.8994,0,1,0,0,1,0,0
8,2,414,52,5,166.6405,467.9201,0,0.6,71,0,19,914.4802,655.864,463.2063,775.667,474.5758,248.0304,545.8923,331.2957,728.2653,0,0,575.9538,819.256,402.8009,827.2938,658.5346,395.2469,558.7849,564.1527,877.046,599.4264,740.7049,572.2862,563.5974,597.0279,0,0,592.4138,0,164.6041,5915.6536,186.8239,0,1,0,0,0,0,1
1,3,465,428,22,678.8911,449.6334,0,2.4,64,0,21,1299.5923,742.2566,2475.6739,970.9991,373.6343,845.7944,684.7483,382.3424,1603.8314,0,8,688.2813,847.9351,457.2142,995.5601,715.2416,369.9093,660.4824,555.2323,949.7427,849.2386,929.7861,687.6563,621.2079,2811.7035,0,0,634.1314,0,188.1858,11889.2641,183.0606,0,1,0,0,1,0,0
1,2,315,127,-0.1,978.3113,1052.7632,1672,1.5,48,0,40,1208.2575,1397.2282,1057.5161,1173.5024,1483.2747,1135.7886,1236.4271,642.102,1042.0255,0,0,1040.8111,1298.0079,833.3053,1683.5161,1269.7346,738.3721,1290.2497,1176.1049,1224.4241,1327.9412,1351.6801,1478.9578,1201.5361,1172.6279,0,0,1330.9915,0,572.5894,9528.0415,775.2887,0,0,0,0,0,0,0
0,0,180,405,-7.4,467.0994,741.0155,0,0.3,59,0,24,1031.0002,865.6601,661.8963,959.6971,694.5891,552.6538,897.5508,530.9992,948.3785,0,2,806.2674,1180.9683,725.9252,1454.5054,979.0222,643.5855,834.2924,876.9468,1010.9592,943.5196,1207.8897,1004.9757,1017.2294,758.6797,0,0,796.164,0,346.6577,7759.469,301.7108,0,0,0,0,0,0,0
4,8,31,57,12,748.1888,542.3376,0,2.6,68,0,9,1525.5137,842.2068,1120.764,1185.5003,417.0789,614.0948,777.2469,426.003,1281.4858,0,0,863.9822,1074.1881,660.9193,1314.5823,916.9715,573.3421,797.2499,818.5805,1124.184,1027.4387,1115.7296,918.2646,1046.3542,1362.3836,0,0,832.5214,0,330.7528,9789.7491,241.252,0,1,0,0,0,0,0
0,0,8,52,26.7,1847.4924,1697.5536,0,1.5,93,0,25,1008.2354,1619.4181,958.5919,725.5842,1967.1142,1867.4633,1142.0374,646.9452,799.0302,0,9,1275.3164,1005.8373,848.4679,1625.1857,1988.5422,726.6815,1548.5922,884.2143,837.7835,1956.2293,1492.62,2302.994,1415.8865,1201.9967,0,0,1531.0285,0,1435.0658,8029.6792,1647.7614,0,0,0,0,0,0,0
0,0,378,428,23.6,434.5749,431.9343,0,2,90,0,15,1718.1523,657.1181,1249.8728,1171.6605,358.9447,599.6829,642.9811,325.3344,1492.5586,0,10,626.8501,1053.447,482.7767,1055.5986,757.2841,409.8758,603.6363,474.766,1313.0918,653.0262,945.3186,614.0424,558.8803,1956.2001,0,0,602.8288,0,180.7776,10900.3017,175.8637,0,1,0,0,0,0,0
10,5,280,90,24.7,933.7991,688.5206,0,1.9,43,0,57,1203.3642,882.4501,979.4246,938.4746,379.9194,774.9625,801.7633,433.7554,1084.3289,0,0,783.37,921.2021,659.0558,1343.3455,943.4921,538.6022,808.3159,766.0919,906.2735,893.5334,1123.1393,939.5995,1013.1943,1258.8947,0,0,804.9725,0,419.9039,8415.1019,219.7575,0,1,0,0,1,0,0
3,6,738,17,24,1296.0386,831.1225,3902,2.7,41,0,30,3956.4333,1169.0191,4170.6559,2201.2318,1062.4909,1861.7585,817.2345,414.8562,3683.2133,0,4,967.5959,1750.5883,679.4475,1282.0233,1067.4133,552.5244,928.6617,699.84,2094.2269,1262.3714,1698.8786,1147.2843,868.5419,6007.917,0,1,868.6065,0,383.5944,25563.1451,493.4177,0,1,1,0,1,0,0
