"y","past_return","bus_passenger","sub_passenger","temp","wet","m35","f45","m30","m0","wind","sunny","m5","m40","f70","f40","f30","m20","m25","f0","dust","m45","f65","m70","m50","f55","f60","m65","f35","m60","m55","most_use","f50","f15","f20","f25","cloud","rain","X8_9","semester","X18_19","X17_18","temp.sqr"
0,0,35,10,-7.2,61,1301.6667,723.0045,1779.2022,507.3804,1.3,0,446.1406,894.8631,1133.1607,685.3887,1880.5437,2803.1913,3518.3709,307.4638,30,970.6791,478.4149,770.3506,742.6971,656.7043,631.4011,397.9289,1212.531,502.8778,708.5429,20826.7544,698.4787,678.9458,4752.0265,3579.2221,3,0,0,0,0,0,51.84
1,0,64,565,-7.4,59,1292.5421,709.2058,1789.8582,445.032,0.3,0,440.6551,915.6993,1113.8521,683.1681,1910.9327,2795.1302,3487.6214,291.5509,24,1008.9347,483.2726,793.6769,762.1957,666.4392,659.0093,409.5458,1226.4843,530.6742,727.9901,20835.7614,712.693,675.2878,4772.6754,3560.5171,2,0,0,0,0,0,54.76
0,0,173,892,-7.8,55,1361.1127,731.2445,1791.7569,460.1583,2.1,0,459.447,926.5137,1165.0858,683.3059,1890.5477,2756.9281,3454.61,301.4263,22,996.9741,523.1746,819.6501,789.6308,722.7125,642.1534,434.1096,1238.8622,536.3459,774.9457,20757.2521,696.985,674.2249,4694.4118,3569.0227,1,0,0,0,0,0,60.84
2,1,344,2435,-7.7,54,1453.0328,802.7161,1801.4965,487.1381,2,0,430.9352,1025.6266,1267.5847,743.9412,1902.6712,2652.1441,3324.0483,352.3485,21,1149.7792,534.9,858.7583,895.0344,779.1232,697.5645,484.3968,1310.0714,598.5327,844.6391,20535.6556,772.7932,658.9151,4636.7636,3455.4277,0,0,0,0,0,0,59.29
4,0,712,4472,-7.6,55,1426.351,924.3551,1648.7732,436.3641,1.6,0,644.902,1119.5196,1304.7471,925.8083,1705.8362,2519.3405,2847.9055,375.8258,25,1208.1979,533.7396,869.331,1018.9741,843.9229,728.622,517.2983,1263.8432,643.2286,913.6478,18767.3927,936.5414,743.7441,4270.768,3084.5751,1,0,1,0,0,0,57.76
0,0,484,2597,-6.9,55,1395.7268,1035.5256,1612.2712,468.4626,1.7,0,672.8843,1181.4821,1391.9837,940.7677,1671.153,2482.0831,2662.0406,376.2878,23,1250.4559,562.8275,922.4688,1103.368,895.3672,767.7525,549.8313,1285.0733,736.8433,1001.3734,17936.2537,915.2747,686.4385,3956.3774,2871.5283,1,0,0,0,0,0,47.61
1,0,332,1361,-4,55,1439.9264,1173.343,1640.1081,509.9497,1.2,0,744.7539,1159.787,1392.7046,1009.0316,1675.3203,2511.324,2688.0373,362.6595,20,1312.3121,586.9194,859.6573,1166.6949,910.2718,765.2355,514.519,1342.5714,746.2477,1056.6613,18079.1343,943.9601,754.2041,3960.7385,2821.1083,2,0,0,0,0,0,16
0,0,306,1430,-1.4,44,1466.3247,1104.404,1662.9091,517.4044,1.5,0,878.6157,1156.4928,1475.7007,1043.2783,1684.9537,2534.5863,2626.2692,430.8532,32,1295.4737,593.273,906.669,1122.7146,919.8563,776.9227,551.6107,1418.3272,717.0376,1081.0416,18323.4817,946.7855,863.6813,4061.4116,2868.6999,0,0,0,0,0,0,1.96
1,0,350,1601,0.9,36,1510.9998,1121.1977,1720.4887,458.3968,2.1,0,857.3689,1224.5282,1309.883,1013.2716,1625.2388,2710.3982,2693.7614,371.4619,38,1293.3652,622.8533,926.741,1154.8022,921.7864,798.234,541.5435,1447.0067,739.0346,1075.5495,18864.0709,1008.2463,1014.0743,4233.7315,2922.4458,2,0,0,0,0,0,0.81
0,1,407,1661,1.7,43,1460.7442,1156.7422,1717.156,554.3713,2.8,1,776.4583,1210.1774,1360.3603,1056.2872,1699.0385,2856.6664,2721.8669,477.6398,35,1311.0648,629.8864,956.0724,1217.4117,930.1997,807.4246,542.9097,1398.3945,759.8518,1066.5346,19100.1617,1044.9356,1117.9918,4305.2457,2941.0495,4,0,0,0,0,0,2.89
