"y","temp","rain","wet","snow","cloud","dust","temp.sqr","sunny","semester","past_return","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m5","m20","m25","m35","m45","m55","m65","f25","f30","f65","f70","bus_passenger","sub_passenger"
1,-4,0,55,0,2,20,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,744.7539,2511.324,2688.0373,1439.9264,1312.3121,1056.6613,514.519,2821.1083,1675.3203,586.9194,1392.7046,332,1361
0,-1.4,0,44,0,0,32,1.96,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,878.6157,2534.5863,2626.2692,1466.3247,1295.4737,1081.0416,551.6107,2868.6999,1684.9537,593.273,1475.7007,306,1430
1,0.9,0,36,0,2,38,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,857.3689,2710.3982,2693.7614,1510.9998,1293.3652,1075.5495,541.5435,2922.4458,1625.2388,622.8533,1309.883,350,1601
0,1.7,0,43,0,4,35,2.89,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,776.4583,2856.6664,2721.8669,1460.7442,1311.0648,1066.5346,542.9097,2941.0495,1699.0385,629.8864,1360.3603,407,1661
0,2,0,43,0,6,37,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,774.643,2913.5869,2828.2211,1520.8883,1334.6582,1092.2724,541.6243,2947.6832,1718.2784,617.1358,1314.2719,409,1746
1,2.2,0,48,0,6,33,4.84,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,862.0225,3048.8963,2861.655,1563.615,1273.3366,1004.7152,503.9378,3001.5806,1732.9643,633.3601,1320.5806,475,2078
0,2.3,0,49,0,7,37,5.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1113.7642,3128.9349,2945.7799,1541.2622,1286.7302,931.7262,509.5979,3014.8984,1653.7936,575.3131,1322.5985,576,2675
2,1.6,0,56,0,8,38,2.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1462.203,3566.9292,3144.4974,1580.843,1265.1751,862.4286,528.022,3165.3341,1699.6399,591.3638,1304.803,626,3455
1,1.3,0,58,0,9,31,1.69,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1744.4481,4113.3908,3613.3573,1658.274,1371.9742,922.902,510.3344,3976.3613,2191.8572,613.0449,1259.3332,939,4126
2,1.3,0,65,0,9,21,1.69,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1583.4592,4065.1125,3726.0957,1653.4535,1213.1551,864.4499,491.4713,4043.4377,2116.7063,628.8605,1230.6667,729,2725
1,1.2,0,68,0,9,22,1.44,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1381.3895,3789.5552,3683.61,1583.3262,1167.5954,816.706,479.5888,3963.7459,2055.64,628.7436,1215.3251,627,3443
2,1.1,0,74,0,9,29,1.21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,873.1528,3060.5916,3461.494,1515.8027,1045.0666,776.5617,450.1245,3702.9449,1898.2962,618.7889,1199.8616,723,3962
0,0.9,0,75,0,8,28,0.81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,609.4041,2813.8935,3518.1665,1424.2559,1037.7303,744.7992,441.0624,3708.7899,1918.2531,598.7396,1186.8485,362,1166
0,0.6,0,75,0,9,27,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,470.2152,2724.7673,3416.9302,1333.3334,970.2347,743.2161,424.8363,3580.1829,1884.8524,505.2386,1145.3585,203,319
0,0.7,0,81,0,9,30,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444.4648,2761.1498,3449.8626,1298.8684,963.4141,709.9803,418.9969,3637.2328,1887.471,512.173,1212.3185,65,1
