"y","sub_passenger","bus_passenger","past_return","temp","X8_9","wet","rain","X7_8","m25","f0","m30","f35","f45","m40","m45","sunny","m50","m5","m35","m55","m0","f25","m70","f50","m65","f60","dust","f65","m60","f70","cloud","m20","f55","f40","wind","f20","f30","f15","X18_19","most_use","snow","X9_10","temp.sqr","weekend","X16_17","semester","X12_13"
0,1183,290,2,-3.8,0,49,0,0,3555.0641,392.1807,1884.5123,1203.7896,827.7268,895.4819,1039.9894,0,800.7484,642.8577,1342.2597,763.2258,576.0977,3542.5483,793.1548,799.6374,434.2469,683.2331,33,564.4722,558.7961,1165.0347,0,2838.5561,737.9257,795.783,2.1,4706.2114,1842.3086,767.9079,0,20915.2501,0,0,14.44,1,0,0,0
0,296,116,1,-4.4,0,48,0,0,3454.4892,302.5978,1756.178,1167.7962,705.2005,892.449,983.0021,0,746.819,412.8902,1322.5,704.2859,454.4504,3512.6591,750.5164,693.2796,409.5073,613.1592,26,500.2525,527.5285,1144.6911,0,2702.1775,641.8205,711.2368,2.9,4753.8475,1853.8448,635.5786,0,20523.4923,0,0,19.36,1,0,0,0
0,0,54,1,-5.2,0,51,0,0,3483.7838,298.2608,1746.7593,1180.2811,710.2858,898.57,991.3523,0,731.7209,429.0108,1301.7749,702.5412,470.1789,3556.0776,760.0452,685.142,412.3134,623.4963,27,494.7284,527.1577,1090.2994,1,2739.8139,640.3266,689.1734,1.6,4745.3337,1867.0894,630.3021,0,20620.9137,0,0,27.04,0,0,0,0
0,0,28,0,-5.8,0,52,0,0,3502.4904,288.5762,1760.4701,1171.9583,723.9464,884.6295,953.1996,0,748.8319,434.1726,1298.267,699.2396,451.7634,3567.5378,768.6048,681.5611,402.6155,636.0671,29,496.2779,519.202,1091.5168,0,2757.503,647.3592,663.4489,2.1,4775.0704,1899.451,650.0474,0,20732.748,0,0,33.64,0,0,0,0
0,0,21,0,-6.4,0,56,0,0,3491.2571,285.7222,1754.8118,1184.0139,722.0812,901.255,957.8903,0,757.3202,417.6675,1314.0017,683.5991,464.014,3579.102,754.1195,681.0465,407.4006,631.7989,25,502.6214,507.8375,1121.5832,5,2772.7609,640.2234,662.989,1.7,4815.8483,1887.8221,671.1149,0,20799.6178,0,0,40.96,0,0,0,0
0,0,9,0,-7,0,59,0,0,3487.9432,302.9079,1754.4657,1176.7656,724.244,904.8807,965.8599,0,749.408,438.2313,1299.2547,719.0592,494.9173,3579.6345,759.2225,687.0972,390.0664,633.0392,21,504.5646,493.8672,1092.3598,2,2780.6139,632.5592,675.5828,1.6,4798.7789,1884.7284,687.2134,0,20762.1849,0,0,49,0,0,0,0
0,10,35,0,-7.2,0,61,0,0,3518.3709,307.4638,1779.2022,1212.531,723.0045,894.8631,970.6791,0,742.6971,446.1406,1301.6667,708.5429,507.3804,3579.2221,770.3506,698.4787,397.9289,631.4011,30,478.4149,502.8778,1133.1607,3,2803.1913,656.7043,685.3887,1.3,4752.0265,1880.5437,678.9458,0,20826.7544,0,0,51.84,0,0,0,0
0,565,64,0,-7.4,0,59,0,0,3487.6214,291.5509,1789.8582,1226.4843,709.2058,915.6993,1008.9347,0,762.1957,440.6551,1292.5421,727.9901,445.032,3560.5171,793.6769,712.693,409.5458,659.0093,24,483.2726,530.6742,1113.8521,2,2795.1302,666.4392,683.1681,0.3,4772.6754,1910.9327,675.2878,0,20835.7614,0,0,54.76,0,0,0,0
1,892,173,0,-7.8,0,55,0,0,3454.61,301.4263,1791.7569,1238.8622,731.2445,926.5137,996.9741,0,789.6308,459.447,1361.1127,774.9457,460.1583,3569.0227,819.6501,696.985,434.1096,642.1534,22,523.1746,536.3459,1165.0858,1,2756.9281,722.7125,683.3059,2.1,4694.4118,1890.5477,674.2249,0,20757.2521,0,0,60.84,0,0,0,0
5,2435,344,0,-7.7,0,54,0,1,3324.0483,352.3485,1801.4965,1310.0714,802.7161,1025.6266,1149.7792,0,895.0344,430.9352,1453.0328,844.6391,487.1381,3455.4277,858.7583,772.7932,484.3968,697.5645,21,534.9,598.5327,1267.5847,0,2652.1441,779.1232,743.9412,2,4636.7636,1902.6712,658.9151,0,20535.6556,0,0,59.29,0,0,0,0
7,4472,712,4,-7.6,1,55,0,0,2847.9055,375.8258,1648.7732,1263.8432,924.3551,1119.5196,1208.1979,0,1018.9741,644.902,1426.351,913.6478,436.3641,3084.5751,869.331,936.5414,517.2983,728.622,25,533.7396,643.2286,1304.7471,1,2519.3405,843.9229,925.8083,1.6,4270.768,1705.8362,743.7441,0,18767.3927,0,0,57.76,0,0,0,0
4,2597,484,15,-6.9,0,55,0,0,2662.0406,376.2878,1612.2712,1285.0733,1035.5256,1181.4821,1250.4559,0,1103.368,672.8843,1395.7268,1001.3734,468.4626,2871.5283,922.4688,915.2747,549.8313,767.7525,23,562.8275,736.8433,1391.9837,1,2482.0831,895.3672,940.7677,1.7,3956.3774,1671.153,686.4385,0,17936.2537,0,1,47.61,0,0,0,0
0,1361,332,4,-4,0,55,0,0,2688.0373,362.6595,1640.1081,1342.5714,1173.343,1159.787,1312.3121,0,1166.6949,744.7539,1439.9264,1056.6613,509.9497,2821.1083,859.6573,943.9601,514.519,765.2355,20,586.9194,746.2477,1392.7046,2,2511.324,910.2718,1009.0316,1.2,3960.7385,1675.3203,754.2041,0,18079.1343,0,0,16,0,0,0,0
3,1430,306,1,-1.4,0,44,0,0,2626.2692,430.8532,1662.9091,1418.3272,1104.404,1156.4928,1295.4737,0,1122.7146,878.6157,1466.3247,1081.0416,517.4044,2868.6999,906.669,946.7855,551.6107,776.9227,32,593.273,717.0376,1475.7007,0,2534.5863,919.8563,1043.2783,1.5,4061.4116,1684.9537,863.6813,0,18323.4817,0,0,1.96,0,0,0,0
