"y","f45","m20","f50","m25","temp","bus_passenger","past_return","m30","m50","wet","X16_17","f20","m55","sub_passenger","X17_18","m0","m70","m5","m40","f70","sunny","f60","f65","f25","f0","m35","m45","m65","m60","f40","f35","f30","f15","f55","wind","most_use","dust","cloud","X11_12","rain","X14_15","temp.sqr","X13_14"
0,1035.5256,2482.0831,915.2747,2662.0406,-6.9,484,4,1612.2712,1103.368,55,0,3956.3774,1001.3734,2597,0,468.4626,922.4688,672.8843,1181.4821,1391.9837,0,767.7525,562.8275,2871.5283,376.2878,1395.7268,1250.4559,549.8313,736.8433,940.7677,1285.0733,1671.153,686.4385,895.3672,1.7,17936.2537,23,1,0,0,0,47.61,0
0,1173.343,2511.324,943.9601,2688.0373,-4,332,3,1640.1081,1166.6949,55,0,3960.7385,1056.6613,1361,0,509.9497,859.6573,744.7539,1159.787,1392.7046,0,765.2355,586.9194,2821.1083,362.6595,1439.9264,1312.3121,514.519,746.2477,1009.0316,1342.5714,1675.3203,754.2041,910.2718,1.2,18079.1343,20,2,0,0,0,16,0
0,1104.404,2534.5863,946.7855,2626.2692,-1.4,306,3,1662.9091,1122.7146,44,0,4061.4116,1081.0416,1430,0,517.4044,906.669,878.6157,1156.4928,1475.7007,0,776.9227,593.273,2868.6999,430.8532,1466.3247,1295.4737,551.6107,717.0376,1043.2783,1418.3272,1684.9537,863.6813,919.8563,1.5,18323.4817,32,0,1,0,0,1.96,0
1,1121.1977,2710.3982,1008.2463,2693.7614,0.9,350,1,1720.4887,1154.8022,36,0,4233.7315,1075.5495,1601,0,458.3968,926.741,857.3689,1224.5282,1309.883,0,798.234,622.8533,2922.4458,371.4619,1510.9998,1293.3652,541.5435,739.0346,1013.2716,1447.0067,1625.2388,1014.0743,921.7864,2.1,18864.0709,38,2,0,0,0,0.81,0
0,1156.7422,2856.6664,1044.9356,2721.8669,1.7,407,1,1717.156,1217.4117,43,0,4305.2457,1066.5346,1661,0,554.3713,956.0724,776.4583,1210.1774,1360.3603,1,807.4246,629.8864,2941.0495,477.6398,1460.7442,1311.0648,542.9097,759.8518,1056.2872,1398.3945,1699.0385,1117.9918,930.1997,2.8,19100.1617,35,4,0,0,0,2.89,1
3,1176.4602,2913.5869,1042.1027,2828.2211,2,409,0,1716.8676,1235.0978,43,0,4551.2047,1092.2724,1746,0,451.932,924.2738,774.643,1277.6667,1314.2719,1,841.7481,617.1358,2947.6832,405.9336,1520.8883,1334.6582,541.6243,737.439,1152.2567,1423.4154,1718.2784,1331.7675,1000.6554,2.4,19620.1456,37,6,0,0,1,4,0
0,1213.4825,3048.8963,987.4939,2861.655,2.2,475,1,1743.0036,1182.228,48,0,4622.7266,1004.7152,2078,0,518.499,908.7911,862.0225,1279.4113,1320.5806,1,844.4154,633.3601,3001.5806,421.9394,1563.615,1273.3366,503.9378,739.1344,1115.5868,1458.7331,1732.9643,1509.9943,964.4287,2.2,20033.1745,33,6,0,0,0,4.84,0
3,1165.018,3128.9349,1036.4946,2945.7799,2.3,576,0,1758.573,1200.9963,49,1,4704.3098,931.7262,2675,0,527.9048,924.7538,1113.7642,1264.2411,1322.5985,1,837.3723,575.3131,3014.8984,401.7319,1541.2622,1286.7302,509.5979,703.575,1060.8693,1330.0928,1653.7936,1773.7533,913.6478,2.4,20077.6446,37,7,0,0,0,5.29,0
1,1125.9201,3566.9292,969.4632,3144.4974,1.6,626,0,1832.8592,1119.0981,56,0,5077.701,862.4286,3455,1,478.9472,918.6571,1462.203,1260.9816,1304.803,1,794.8837,591.3638,3165.3341,470.282,1580.843,1265.1751,528.022,662.4177,1050.205,1307.0461,1699.6399,2060.307,912.9846,3,21374.8499,38,8,0,0,0,2.56,0
2,1187.7941,4113.3908,969.3633,3613.3573,1.3,939,0,2164.098,1149.0736,58,0,5727.6594,922.902,4126,0,486.4166,933.1072,1744.4481,1358.0766,1259.3332,1,790.7419,613.0449,3976.3613,458.8049,1658.274,1371.9742,510.3344,717.9191,1075.355,1477.9913,2191.8572,2215.459,952.0257,1.9,24922.9893,31,9,0,0,0,1.69,0
0,1112.8779,4065.1125,904.3468,3726.0957,1.3,729,0,2131.5452,1018.1303,65,0,5850.444,864.4499,2725,0,477.2858,876.745,1583.4592,1230.2638,1230.6667,1,784.2587,628.8605,4043.4377,461.8789,1653.4535,1213.1551,491.4713,650.9527,979.0794,1431.2488,2116.7063,2102.8311,909.9748,2.6,25018.0437,21,9,0,0,0,1.69,0
0,1040.8249,3789.5552,849.9934,3683.61,1.2,627,0,2130.5112,952.5821,68,0,5604.409,816.706,3443,0,497.7466,848.6156,1381.3895,1089.3896,1215.3251,1,732.2397,628.7436,3963.7459,466.3662,1583.3262,1167.5954,479.5888,590.3687,899.9572,1380.969,2055.64,1698.0712,842.1525,1.8,24191.7665,22,9,0,0,0,1.44,0
