"y","m30","f20","sub_passenger","m25","temp","past_rent","f15","f40","m20","semester","bus_passenger","X10_11","rain","X8_9","f45","X9_10","f25","wet","f50","m50","m35","m55","f55","m45","m0","cloud","X15_16","f35","m5","f30","f0","dust","f60","m40","f70","m65","sunny","wind","m70","temp.sqr","f65","m60","most_use","X12_13","X13_14"
0,1791.7569,4694.4118,892,3454.61,-7.8,0,674.2249,683.3059,2756.9281,0,173,0,0,0,731.2445,0,3569.0227,55,696.985,789.6308,1361.1127,774.9457,722.7125,996.9741,460.1583,1,0,1238.8622,459.447,1890.5477,301.4263,22,642.1534,926.5137,1165.0858,434.1096,0,2.1,819.6501,60.84,523.1746,536.3459,20757.2521,0,0
1,1801.4965,4636.7636,2435,3324.0483,-7.7,0,658.9151,743.9412,2652.1441,0,344,0,0,0,802.7161,0,3455.4277,54,772.7932,895.0344,1453.0328,844.6391,779.1232,1149.7792,487.1381,0,0,1310.0714,430.9352,1902.6712,352.3485,21,697.5645,1025.6266,1267.5847,484.3968,0,2,858.7583,59.29,534.9,598.5327,20535.6556,0,0
6,1648.7732,4270.768,4472,2847.9055,-7.6,0,743.7441,925.8083,2519.3405,0,712,0,0,1,924.3551,0,3084.5751,55,936.5414,1018.9741,1426.351,913.6478,843.9229,1208.1979,436.3641,1,0,1263.8432,644.902,1705.8362,375.8258,25,728.622,1119.5196,1304.7471,517.2983,0,1.6,869.331,57.76,533.7396,643.2286,18767.3927,0,0
3,1612.2712,3956.3774,2597,2662.0406,-6.9,0,686.4385,940.7677,2482.0831,0,484,0,0,0,1035.5256,1,2871.5283,55,915.2747,1103.368,1395.7268,1001.3734,895.3672,1250.4559,468.4626,1,0,1285.0733,672.8843,1671.153,376.2878,23,767.7525,1181.4821,1391.9837,549.8313,0,1.7,922.4688,47.61,562.8275,736.8433,17936.2537,0,0
2,1640.1081,3960.7385,1361,2688.0373,-4,2,754.2041,1009.0316,2511.324,0,332,1,0,0,1173.343,0,2821.1083,55,943.9601,1166.6949,1439.9264,1056.6613,910.2718,1312.3121,509.9497,2,0,1342.5714,744.7539,1675.3203,362.6595,20,765.2355,1159.787,1392.7046,514.519,0,1.2,859.6573,16,586.9194,746.2477,18079.1343,0,0
2,1662.9091,4061.4116,1430,2626.2692,-1.4,1,863.6813,1043.2783,2534.5863,0,306,0,0,0,1104.404,0,2868.6999,44,946.7855,1122.7146,1466.3247,1081.0416,919.8563,1295.4737,517.4044,0,0,1418.3272,878.6157,1684.9537,430.8532,32,776.9227,1156.4928,1475.7007,551.6107,0,1.5,906.669,1.96,593.273,717.0376,18323.4817,0,0
4,1720.4887,4233.7315,1601,2693.7614,0.9,0,1014.0743,1013.2716,2710.3982,0,350,0,0,0,1121.1977,0,2922.4458,36,1008.2463,1154.8022,1510.9998,1075.5495,921.7864,1293.3652,458.3968,2,0,1447.0067,857.3689,1625.2388,371.4619,38,798.234,1224.5282,1309.883,541.5435,0,2.1,926.741,0.81,622.8533,739.0346,18864.0709,1,0
2,1717.156,4305.2457,1661,2721.8669,1.7,1,1117.9918,1056.2872,2856.6664,0,407,0,0,0,1156.7422,0,2941.0495,43,1044.9356,1217.4117,1460.7442,1066.5346,930.1997,1311.0648,554.3713,4,0,1398.3945,776.4583,1699.0385,477.6398,35,807.4246,1210.1774,1360.3603,542.9097,1,2.8,956.0724,2.89,629.8864,759.8518,19100.1617,0,1
0,1716.8676,4551.2047,1746,2828.2211,2,1,1331.7675,1152.2567,2913.5869,0,409,0,0,0,1176.4602,0,2947.6832,43,1042.1027,1235.0978,1520.8883,1092.2724,1000.6554,1334.6582,451.932,6,0,1423.4154,774.643,1718.2784,405.9336,37,841.7481,1277.6667,1314.2719,541.6243,1,2.4,924.2738,4,617.1358,737.439,19620.1456,0,0
0,1743.0036,4622.7266,2078,2861.655,2.2,0,1509.9943,1115.5868,3048.8963,0,475,0,0,0,1213.4825,0,3001.5806,48,987.4939,1182.228,1563.615,1004.7152,964.4287,1273.3366,518.499,6,1,1458.7331,862.0225,1732.9643,421.9394,33,844.4154,1279.4113,1320.5806,503.9378,1,2.2,908.7911,4.84,633.3601,739.1344,20033.1745,0,0
2,1758.573,4704.3098,2675,2945.7799,2.3,2,1773.7533,1060.8693,3128.9349,0,576,0,0,0,1165.018,0,3014.8984,49,1036.4946,1200.9963,1541.2622,931.7262,913.6478,1286.7302,527.9048,7,0,1330.0928,1113.7642,1653.7936,401.7319,37,837.3723,1264.2411,1322.5985,509.5979,1,2.4,924.7538,5.29,575.3131,703.575,20077.6446,0,0
2,1832.8592,5077.701,3455,3144.4974,1.6,7,2060.307,1050.205,3566.9292,0,626,0,0,0,1125.9201,0,3165.3341,56,969.4632,1119.0981,1580.843,862.4286,912.9846,1265.1751,478.9472,8,0,1307.0461,1462.203,1699.6399,470.282,38,794.8837,1260.9816,1304.803,528.022,1,3,918.6571,2.56,591.3638,662.4177,21374.8499,0,0
0,2164.098,5727.6594,4126,3613.3573,1.3,6,2215.459,1075.355,4113.3908,0,939,0,0,0,1187.7941,0,3976.3613,58,969.3633,1149.0736,1658.274,922.902,952.0257,1371.9742,486.4166,9,0,1477.9913,1744.4481,2191.8572,458.8049,31,790.7419,1358.0766,1259.3332,510.3344,1,1.9,933.1072,1.69,613.0449,717.9191,24922.9893,0,0
3,2131.5452,5850.444,2725,3726.0957,1.3,0,2102.8311,979.0794,4065.1125,0,729,0,0,0,1112.8779,0,4043.4377,65,904.3468,1018.1303,1653.4535,864.4499,909.9748,1213.1551,477.2858,9,0,1431.2488,1583.4592,2116.7063,461.8789,21,784.2587,1230.2638,1230.6667,491.4713,1,2.6,876.745,1.69,628.8605,650.9527,25018.0437,0,0
0,2130.5112,5604.409,3443,3683.61,1.2,0,1698.0712,899.9572,3789.5552,0,627,0,0,0,1040.8249,0,3963.7459,68,849.9934,952.5821,1583.3262,816.706,842.1525,1167.5954,497.7466,9,0,1380.969,1381.3895,2055.64,466.3662,22,732.2397,1089.3896,1215.3251,479.5888,1,1.8,848.6156,1.44,628.7436,590.3687,24191.7665,0,0
