"y","station_dist","station_type","temp","rain","wind","wet","cloud","dust","temp.sqr","sunny","semester","past_rent","X8_9","X9_10","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger"
0,41,0,25.7,0,0.6,85,9,13,660.49,0,1,2,0,0,0,0,0,0,0,0,1,1515.7269,1281.3542,1359.7176,944.7975,870.0721,822.4555,1130.3435,1449.4531,1820.4464,1455.7716,1157.7348,758.7465,638.537,1292.0574,1673.5087,1401.8218,1471.3956,1127.1556,1135.5186,888.171,1432.5313,1873.8866,2127.3401,1470.5632,1304.1826,884.606,720.9011,1587.5866,8351.0451,260,807
7,183,0,11.3,0,2.5,88,9,39,127.69,0,1,1,0,0,0,0,0,0,0,1,0,1041.5815,537.6625,666.3455,810.203,884.9861,786.2973,1068.5389,871.0902,925.5681,851.3879,756.4656,672.6276,469.2648,839.1616,946.2245,502.9551,814.6735,1046.159,1001.7127,985.1303,1118.4349,1021.5454,970.0458,964.5714,1021.6835,815.5997,617.9095,1308.235,7701.4622,294,0
4,100,0,12.2,0,3.3,22,0,47,148.84,0,1,4,0,0,0,1,0,0,0,0,0,720.3347,335.4671,568.782,747.2057,1173.7034,1080.9475,947.5686,1011.7738,1019.5757,864.1725,875.8239,652.4667,377.9894,858.4248,521.808,277.9296,687.5764,866.6881,1245.8367,1050.7986,1084.8958,932.3356,1033.0125,892.9698,951.6148,710.7221,516.1983,1274.6597,8197.6444,778,1606
2,43,0,23.5,0,3.1,86,10,15,552.25,0,0,1,0,0,0,0,0,0,0,0,0,1218.8509,662.9237,1089.4572,1143.8269,1099.8065,1022.1844,1295.1986,1246.2442,1411.8351,1212.8406,1065.9489,851.3126,610.0979,1091.1656,1619.9184,846.7106,982.0306,1058.8067,1190.4416,1094.6195,1331.6655,1236.156,1498.342,1237.1211,1216.7687,1126.5119,752.5621,1660.6691,9236.5497,342,1515
1,73,0,6.9,0,5.2,35,0,62,47.61,0,0,2,0,0,0,0,0,0,0,0,1,685.0143,240.973,230.5651,460.8606,696.0262,774.3319,757.2579,676.7163,603.823,585.7235,612.6278,427.2907,339.1335,615.6051,518.6514,204.1749,278.238,547.9115,912.1454,801.913,808.0822,520.6757,558.8539,512.6086,531.4602,542.4869,406.8725,842.0322,5758.5287,218,0
3,19,1,-1.9,0,1.9,90,0,40,3.61,0,1,2,0,0,0,0,1,0,0,0,0,1404.3163,1187.1711,1347.4448,778.8793,708.0064,719.7045,1011.2057,1206.4288,1536.7886,1371.9631,1157.6646,843.7235,684.8218,1124.5237,1694.8471,1419.6956,1471.2884,951.2272,895.988,795.4269,1347.7115,1835.313,2103.3315,1476.9466,1410.7799,1025.2254,811.3335,1731.0919,7208.1495,251,496
0,86,0,6.7,0,3.9,49,6,12,44.89,0,0,0,0,0,0,0,0,0,0,0,0,413.2151,137.7384,277.8573,622.8873,730.6861,664.3365,669.9196,610.667,651.5334,548.3898,528.1433,386.8721,265.4835,593.8766,608.9781,217.7348,372.4685,743.8811,806.4607,695.0419,835.7331,592.4132,610.3355,517.3992,595.9451,539.5923,377.7665,875.4974,5768.9463,260,1422
0,42,0,-2.4,0,2.7,48,3,20,5.76,0,0,0,0,0,0,0,0,0,0,0,0,471.4656,197.3231,297.534,786.7604,1117.8751,1003.9333,922.2346,689.4507,611.4454,556.7421,589.1348,430.026,330.3884,519.8445,332.8769,163.0918,291.5811,1069.2017,1094.1824,753.3834,736.0617,564.5516,555.2023,554.909,583.4746,486.2801,339.1411,960.1012,7483.6326,283,0
6,36,0,21.7,0,3.2,26,0,40,470.89,0,1,7,0,0,0,0,0,0,0,0,1,591.3932,360.6694,679.4284,924.0648,1241.5071,1036.7119,952.3914,914.6845,983.2431,786.5112,853.6984,710.0687,447.3272,822.2925,495.8799,286.8331,632.5165,1122.7443,1281.9559,1065.9461,968.5667,877.0395,941.7144,759.7175,962.2778,859.784,615.7151,1306.2406,8593.8882,251,0
0,43,0,4.8,0,1.4,68,0,12,23.04,0,1,1,0,0,0,0,0,0,0,0,0,1031.1463,560.8324,906.2001,781.0575,935.2324,947.5665,1282.944,1201.8694,1332.3071,1283.8292,1111.6615,857.0753,574.7627,1027.4189,1213.5365,634.3003,1021.5319,863.6631,1207.8341,1097.0946,1272.4432,1153.066,1637.137,1225.4059,1117.9038,1088.1194,672.4503,1465.5278,8387.8354,130,1180
