"y","bus_passenger","sub_passenger","temp","wet","f15","sunny","m0","m40","m35","f0","m55","m70","m65","m20","f25","f35","f60","f45","f65","f55","most_use","m50","m45","m30","f40","wind","f70","m5","f20","dust","m60","past_rent","f50","f30","m25","rain","cloud","weekend","X8_9","X21_22","temp.sqr","X16_17","semester"
4,712,4472,-7.6,55,743.7441,0,436.3641,1119.5196,1426.351,375.8258,913.6478,869.331,517.2983,2519.3405,3084.5751,1263.8432,728.622,924.3551,533.7396,843.9229,18767.3927,1018.9741,1208.1979,1648.7732,925.8083,1.6,1304.7471,644.902,4270.768,25,643.2286,0,936.5414,1705.8362,2847.9055,0,1,0,1,0,57.76,0,0
1,484,2597,-6.9,55,686.4385,0,468.4626,1181.4821,1395.7268,376.2878,1001.3734,922.4688,549.8313,2482.0831,2871.5283,1285.0733,767.7525,1035.5256,562.8275,895.3672,17936.2537,1103.368,1250.4559,1612.2712,940.7677,1.7,1391.9837,672.8843,3956.3774,23,736.8433,2,915.2747,1671.153,2662.0406,0,1,0,0,0,47.61,0,0
0,332,1361,-4,55,754.2041,0,509.9497,1159.787,1439.9264,362.6595,1056.6613,859.6573,514.519,2511.324,2821.1083,1342.5714,765.2355,1173.343,586.9194,910.2718,18079.1343,1166.6949,1312.3121,1640.1081,1009.0316,1.2,1392.7046,744.7539,3960.7385,20,746.2477,2,943.9601,1675.3203,2688.0373,0,2,0,0,0,16,0,0
0,306,1430,-1.4,44,863.6813,0,517.4044,1156.4928,1466.3247,430.8532,1081.0416,906.669,551.6107,2534.5863,2868.6999,1418.3272,776.9227,1104.404,593.273,919.8563,18323.4817,1122.7146,1295.4737,1662.9091,1043.2783,1.5,1475.7007,878.6157,4061.4116,32,717.0376,0,946.7855,1684.9537,2626.2692,0,0,0,0,0,1.96,0,0
0,350,1601,0.9,36,1014.0743,0,458.3968,1224.5282,1510.9998,371.4619,1075.5495,926.741,541.5435,2710.3982,2922.4458,1447.0067,798.234,1121.1977,622.8533,921.7864,18864.0709,1154.8022,1293.3652,1720.4887,1013.2716,2.1,1309.883,857.3689,4233.7315,38,739.0346,0,1008.2463,1625.2388,2693.7614,0,2,0,0,0,0.81,0,0
0,407,1661,1.7,43,1117.9918,1,554.3713,1210.1774,1460.7442,477.6398,1066.5346,956.0724,542.9097,2856.6664,2941.0495,1398.3945,807.4246,1156.7422,629.8864,930.1997,19100.1617,1217.4117,1311.0648,1717.156,1056.2872,2.8,1360.3603,776.4583,4305.2457,35,759.8518,0,1044.9356,1699.0385,2721.8669,0,4,0,0,0,2.89,0,0
2,409,1746,2,43,1331.7675,1,451.932,1277.6667,1520.8883,405.9336,1092.2724,924.2738,541.6243,2913.5869,2947.6832,1423.4154,841.7481,1176.4602,617.1358,1000.6554,19620.1456,1235.0978,1334.6582,1716.8676,1152.2567,2.4,1314.2719,774.643,4551.2047,37,737.439,0,1042.1027,1718.2784,2828.2211,0,6,0,0,0,4,0,0
0,475,2078,2.2,48,1509.9943,1,518.499,1279.4113,1563.615,421.9394,1004.7152,908.7911,503.9378,3048.8963,3001.5806,1458.7331,844.4154,1213.4825,633.3601,964.4287,20033.1745,1182.228,1273.3366,1743.0036,1115.5868,2.2,1320.5806,862.0225,4622.7266,33,739.1344,1,987.4939,1732.9643,2861.655,0,6,0,0,0,4.84,0,0
3,576,2675,2.3,49,1773.7533,1,527.9048,1264.2411,1541.2622,401.7319,931.7262,924.7538,509.5979,3128.9349,3014.8984,1330.0928,837.3723,1165.018,575.3131,913.6478,20077.6446,1200.9963,1286.7302,1758.573,1060.8693,2.4,1322.5985,1113.7642,4704.3098,37,703.575,0,1036.4946,1653.7936,2945.7799,0,7,0,0,0,5.29,1,0
1,626,3455,1.6,56,2060.307,1,478.9472,1260.9816,1580.843,470.282,862.4286,918.6571,528.022,3566.9292,3165.3341,1307.0461,794.8837,1125.9201,591.3638,912.9846,21374.8499,1119.0981,1265.1751,1832.8592,1050.205,3,1304.803,1462.203,5077.701,38,662.4177,5,969.4632,1699.6399,3144.4974,0,8,0,0,0,2.56,0,0
3,939,4126,1.3,58,2215.459,1,486.4166,1358.0766,1658.274,458.8049,922.902,933.1072,510.3344,4113.3908,3976.3613,1477.9913,790.7419,1187.7941,613.0449,952.0257,24922.9893,1149.0736,1371.9742,2164.098,1075.355,1.9,1259.3332,1744.4481,5727.6594,31,717.9191,1,969.3633,2191.8572,3613.3573,0,9,0,0,0,1.69,0,0
0,729,2725,1.3,65,2102.8311,1,477.2858,1230.2638,1653.4535,461.8789,864.4499,876.745,491.4713,4065.1125,4043.4377,1431.2488,784.2587,1112.8779,628.8605,909.9748,25018.0437,1018.1303,1213.1551,2131.5452,979.0794,2.6,1230.6667,1583.4592,5850.444,21,650.9527,2,904.3468,2116.7063,3726.0957,0,9,0,0,0,1.69,0,0
