"y","m25","m50","f20","m30","temp","semester","sub_passenger","f15","f40","past_rent","bus_passenger","wet","X8_9","rain","X9_10","m45","m55","f50","m5","m35","cloud","f45","dust","m20","f70","f35","m0","m60","m40","m65","temp.sqr","f65","f25","f55","m70","f0","f60","wind","f30","most_use","sunny","X11_12","X13_14","X15_16","X10_11","X16_17","snow"
0,3502.4904,748.8319,4775.0704,1760.4701,-5.8,0,0,650.0474,663.4489,0,28,52,0,0,0,953.1996,699.2396,681.5611,434.1726,1298.267,0,723.9464,29,2757.503,1091.5168,1171.9583,451.7634,519.202,884.6295,402.6155,33.64,496.2779,3567.5378,647.3592,768.6048,288.5762,636.0671,2.1,1899.451,20732.748,0,0,0,0,0,0,0
0,3491.2571,757.3202,4815.8483,1754.8118,-6.4,0,0,671.1149,662.989,0,21,56,0,0,0,957.8903,683.5991,681.0465,417.6675,1314.0017,5,722.0812,25,2772.7609,1121.5832,1184.0139,464.014,507.8375,901.255,407.4006,40.96,502.6214,3579.102,640.2234,754.1195,285.7222,631.7989,1.7,1887.8221,20799.6178,0,0,0,0,0,0,0
0,3487.9432,749.408,4798.7789,1754.4657,-7,0,0,687.2134,675.5828,0,9,59,0,0,0,965.8599,719.0592,687.0972,438.2313,1299.2547,2,724.244,21,2780.6139,1092.3598,1176.7656,494.9173,493.8672,904.8807,390.0664,49,504.5646,3579.6345,632.5592,759.2225,302.9079,633.0392,1.6,1884.7284,20762.1849,0,0,0,0,0,0,0
0,3518.3709,742.6971,4752.0265,1779.2022,-7.2,0,10,678.9458,685.3887,0,35,61,0,0,0,970.6791,708.5429,698.4787,446.1406,1301.6667,3,723.0045,30,2803.1913,1133.1607,1212.531,507.3804,502.8778,894.8631,397.9289,51.84,478.4149,3579.2221,656.7043,770.3506,307.4638,631.4011,1.3,1880.5437,20826.7544,0,0,0,0,0,0,0
0,3487.6214,762.1957,4772.6754,1789.8582,-7.4,0,565,675.2878,683.1681,0,64,59,0,0,0,1008.9347,727.9901,712.693,440.6551,1292.5421,2,709.2058,24,2795.1302,1113.8521,1226.4843,445.032,530.6742,915.6993,409.5458,54.76,483.2726,3560.5171,666.4392,793.6769,291.5509,659.0093,0.3,1910.9327,20835.7614,0,0,0,0,0,0,0
1,3454.61,789.6308,4694.4118,1791.7569,-7.8,0,892,674.2249,683.3059,0,173,55,0,0,0,996.9741,774.9457,696.985,459.447,1361.1127,1,731.2445,22,2756.9281,1165.0858,1238.8622,460.1583,536.3459,926.5137,434.1096,60.84,523.1746,3569.0227,722.7125,819.6501,301.4263,642.1534,2.1,1890.5477,20757.2521,0,0,0,0,0,0,0
1,3324.0483,895.0344,4636.7636,1801.4965,-7.7,0,2435,658.9151,743.9412,0,344,54,0,0,0,1149.7792,844.6391,772.7932,430.9352,1453.0328,0,802.7161,21,2652.1441,1267.5847,1310.0714,487.1381,598.5327,1025.6266,484.3968,59.29,534.9,3455.4277,779.1232,858.7583,352.3485,697.5645,2,1902.6712,20535.6556,0,0,0,0,0,0,0
3,2847.9055,1018.9741,4270.768,1648.7732,-7.6,0,4472,743.7441,925.8083,0,712,55,1,0,0,1208.1979,913.6478,936.5414,644.902,1426.351,1,924.3551,25,2519.3405,1304.7471,1263.8432,436.3641,643.2286,1119.5196,517.2983,57.76,533.7396,3084.5751,843.9229,869.331,375.8258,728.622,1.6,1705.8362,18767.3927,0,0,0,0,0,0,0
5,2662.0406,1103.368,3956.3774,1612.2712,-6.9,0,2597,686.4385,940.7677,3,484,55,0,0,1,1250.4559,1001.3734,915.2747,672.8843,1395.7268,1,1035.5256,23,2482.0831,1391.9837,1285.0733,468.4626,736.8433,1181.4821,549.8313,47.61,562.8275,2871.5283,895.3672,922.4688,376.2878,767.7525,1.7,1671.153,17936.2537,0,0,0,0,0,0,0
1,2688.0373,1166.6949,3960.7385,1640.1081,-4,0,1361,754.2041,1009.0316,2,332,55,0,0,0,1312.3121,1056.6613,943.9601,744.7539,1439.9264,2,1173.343,20,2511.324,1392.7046,1342.5714,509.9497,746.2477,1159.787,514.519,16,586.9194,2821.1083,910.2718,859.6573,362.6595,765.2355,1.2,1675.3203,18079.1343,0,0,0,0,1,0,0
2,2626.2692,1122.7146,4061.4116,1662.9091,-1.4,0,1430,863.6813,1043.2783,1,306,44,0,0,0,1295.4737,1081.0416,946.7855,878.6157,1466.3247,0,1104.404,32,2534.5863,1475.7007,1418.3272,517.4044,717.0376,1156.4928,551.6107,1.96,593.273,2868.6999,919.8563,906.669,430.8532,776.9227,1.5,1684.9537,18323.4817,0,1,0,0,0,0,0
3,2693.7614,1154.8022,4233.7315,1720.4887,0.9,0,1601,1014.0743,1013.2716,0,350,36,0,0,0,1293.3652,1075.5495,1008.2463,857.3689,1510.9998,2,1121.1977,38,2710.3982,1309.883,1447.0067,458.3968,739.0346,1224.5282,541.5435,0.81,622.8533,2922.4458,921.7864,926.741,371.4619,798.234,2.1,1625.2388,18864.0709,0,0,0,0,0,0,0
2,2721.8669,1217.4117,4305.2457,1717.156,1.7,0,1661,1117.9918,1056.2872,3,407,43,0,0,0,1311.0648,1066.5346,1044.9356,776.4583,1460.7442,4,1156.7422,35,2856.6664,1360.3603,1398.3945,554.3713,759.8518,1210.1774,542.9097,2.89,629.8864,2941.0495,930.1997,956.0724,477.6398,807.4246,2.8,1699.0385,19100.1617,1,0,1,0,0,0,0
1,2828.2211,1235.0978,4551.2047,1716.8676,2,0,1746,1331.7675,1152.2567,0,409,43,0,0,0,1334.6582,1092.2724,1042.1027,774.643,1520.8883,6,1176.4602,37,2913.5869,1314.2719,1423.4154,451.932,737.439,1277.6667,541.6243,4,617.1358,2947.6832,1000.6554,924.2738,405.9336,841.7481,2.4,1718.2784,19620.1456,1,0,0,0,0,0,0
0,2861.655,1182.228,4622.7266,1743.0036,2.2,0,2078,1509.9943,1115.5868,2,475,48,0,0,0,1273.3366,1004.7152,987.4939,862.0225,1563.615,6,1213.4825,33,3048.8963,1320.5806,1458.7331,518.499,739.1344,1279.4113,503.9378,4.84,633.3601,3001.5806,964.4287,908.7911,421.9394,844.4154,2.2,1732.9643,20033.1745,1,0,0,1,0,0,0
2,2945.7799,1200.9963,4704.3098,1758.573,2.3,0,2675,1773.7533,1060.8693,1,576,49,0,0,0,1286.7302,931.7262,1036.4946,1113.7642,1541.2622,7,1165.018,37,3128.9349,1322.5985,1330.0928,527.9048,703.575,1264.2411,509.5979,5.29,575.3131,3014.8984,913.6478,924.7538,401.7319,837.3723,2.4,1653.7936,20077.6446,1,0,0,0,0,1,0
1,3144.4974,1119.0981,5077.701,1832.8592,1.6,0,3455,2060.307,1050.205,0,626,56,0,0,0,1265.1751,862.4286,969.4632,1462.203,1580.843,8,1125.9201,38,3566.9292,1304.803,1307.0461,478.9472,662.4177,1260.9816,528.022,2.56,591.3638,3165.3341,912.9846,918.6571,470.282,794.8837,3,1699.6399,21374.8499,1,0,0,0,0,0,0
1,3613.3573,1149.0736,5727.6594,2164.098,1.3,0,4126,2215.459,1075.355,0,939,58,0,0,0,1371.9742,922.902,969.3633,1744.4481,1658.274,9,1187.7941,31,4113.3908,1259.3332,1477.9913,486.4166,717.9191,1358.0766,510.3344,1.69,613.0449,3976.3613,952.0257,933.1072,458.8049,790.7419,1.9,2191.8572,24922.9893,1,0,0,0,0,0,0
