"y","bus_passenger","past_rent","temp","sub_passenger","m5","wet","sunny","f15","m50","most_use","m35","m20","f30","f45","f20","m30","m25","f0","f70","wind","m0","m70","m55","m40","f60","f65","m45","f25","f40","m60","m65","f50","dust","f35","f55","X18_19","cloud","X17_18","rain","weekend","semester","X22_23","X1_2","X7_8"
1,54,0,-5.2,0,429.0108,51,0,630.3021,731.7209,20620.9137,1301.7749,2739.8139,1867.0894,710.2858,4745.3337,1746.7593,3483.7838,298.2608,1090.2994,1.6,470.1789,760.0452,702.5412,898.57,623.4963,494.7284,991.3523,3556.0776,689.1734,527.1577,412.3134,685.142,27,1180.2811,640.3266,0,1,0,0,0,0,0,0,0
1,28,0,-5.8,0,434.1726,52,0,650.0474,748.8319,20732.748,1298.267,2757.503,1899.451,723.9464,4775.0704,1760.4701,3502.4904,288.5762,1091.5168,2.1,451.7634,768.6048,699.2396,884.6295,636.0671,496.2779,953.1996,3567.5378,663.4489,519.202,402.6155,681.5611,29,1171.9583,647.3592,0,0,0,0,0,0,0,1,0
0,21,1,-6.4,0,417.6675,56,0,671.1149,757.3202,20799.6178,1314.0017,2772.7609,1887.8221,722.0812,4815.8483,1754.8118,3491.2571,285.7222,1121.5832,1.7,464.014,754.1195,683.5991,901.255,631.7989,502.6214,957.8903,3579.102,662.989,507.8375,407.4006,681.0465,25,1184.0139,640.2234,0,5,0,0,0,0,0,0,0
0,9,0,-7,0,438.2313,59,0,687.2134,749.408,20762.1849,1299.2547,2780.6139,1884.7284,724.244,4798.7789,1754.4657,3487.9432,302.9079,1092.3598,1.6,494.9173,759.2225,719.0592,904.8807,633.0392,504.5646,965.8599,3579.6345,675.5828,493.8672,390.0664,687.0972,21,1176.7656,632.5592,0,2,0,0,0,0,0,0,0
0,35,0,-7.2,10,446.1406,61,0,678.9458,742.6971,20826.7544,1301.6667,2803.1913,1880.5437,723.0045,4752.0265,1779.2022,3518.3709,307.4638,1133.1607,1.3,507.3804,770.3506,708.5429,894.8631,631.4011,478.4149,970.6791,3579.2221,685.3887,502.8778,397.9289,698.4787,30,1212.531,656.7043,0,3,0,0,0,0,0,0,0
0,64,0,-7.4,565,440.6551,59,0,675.2878,762.1957,20835.7614,1292.5421,2795.1302,1910.9327,709.2058,4772.6754,1789.8582,3487.6214,291.5509,1113.8521,0.3,445.032,793.6769,727.9901,915.6993,659.0093,483.2726,1008.9347,3560.5171,683.1681,530.6742,409.5458,712.693,24,1226.4843,666.4392,0,2,0,0,0,0,0,0,0
1,173,1,-7.8,892,459.447,55,0,674.2249,789.6308,20757.2521,1361.1127,2756.9281,1890.5477,731.2445,4694.4118,1791.7569,3454.61,301.4263,1165.0858,2.1,460.1583,819.6501,774.9457,926.5137,642.1534,523.1746,996.9741,3569.0227,683.3059,536.3459,434.1096,696.985,22,1238.8622,722.7125,0,1,0,0,0,0,0,0,0
0,344,0,-7.7,2435,430.9352,54,0,658.9151,895.0344,20535.6556,1453.0328,2652.1441,1902.6712,802.7161,4636.7636,1801.4965,3324.0483,352.3485,1267.5847,2,487.1381,858.7583,844.6391,1025.6266,697.5645,534.9,1149.7792,3455.4277,743.9412,598.5327,484.3968,772.7932,21,1310.0714,779.1232,0,0,0,0,0,0,0,0,1
0,712,2,-7.6,4472,644.902,55,0,743.7441,1018.9741,18767.3927,1426.351,2519.3405,1705.8362,924.3551,4270.768,1648.7732,2847.9055,375.8258,1304.7471,1.6,436.3641,869.331,913.6478,1119.5196,728.622,533.7396,1208.1979,3084.5751,925.8083,643.2286,517.2983,936.5414,25,1263.8432,843.9229,0,1,0,0,0,0,0,0,0
0,484,4,-6.9,2597,672.8843,55,0,686.4385,1103.368,17936.2537,1395.7268,2482.0831,1671.153,1035.5256,3956.3774,1612.2712,2662.0406,376.2878,1391.9837,1.7,468.4626,922.4688,1001.3734,1181.4821,767.7525,562.8275,1250.4559,2871.5283,940.7677,736.8433,549.8313,915.2747,23,1285.0733,895.3672,0,1,0,0,0,0,0,0,0
0,332,0,-4,1361,744.7539,55,0,754.2041,1166.6949,18079.1343,1439.9264,2511.324,1675.3203,1173.343,3960.7385,1640.1081,2688.0373,362.6595,1392.7046,1.2,509.9497,859.6573,1056.6613,1159.787,765.2355,586.9194,1312.3121,2821.1083,1009.0316,746.2477,514.519,943.9601,20,1342.5714,910.2718,0,2,0,0,0,0,0,0,0
0,306,1,-1.4,1430,878.6157,44,0,863.6813,1122.7146,18323.4817,1466.3247,2534.5863,1684.9537,1104.404,4061.4116,1662.9091,2626.2692,430.8532,1475.7007,1.5,517.4044,906.669,1081.0416,1156.4928,776.9227,593.273,1295.4737,2868.6999,1043.2783,717.0376,551.6107,946.7855,32,1418.3272,919.8563,0,0,0,0,0,0,0,0,0
