"y","m5","temp","bus_passenger","past_rent","sub_passenger","f15","wet","f45","m20","m45","f20","f0","m65","f35","m0","f40","f60","m70","f50","m50","m60","f65","m35","m30","m40","f55","dust","m25","f70","rain","f30","m55","f25","wind","sunny","cloud","most_use","semester","X12_13","X20_21","X22_23","X1_2","X9_10","temp.sqr","X21_22","X17_18"
0,642.8577,-3.8,290,0,1183,767.9079,49,827.7268,2838.5561,1039.9894,4706.2114,392.1807,434.2469,1203.7896,576.0977,795.783,683.2331,793.1548,799.6374,800.7484,558.7961,564.4722,1342.2597,1884.5123,895.4819,737.9257,33,3555.0641,1165.0347,0,1842.3086,763.2258,3542.5483,2.1,0,0,20915.2501,0,0,0,1,0,0,14.44,0,0
0,412.8902,-4.4,116,0,296,635.5786,48,705.2005,2702.1775,983.0021,4753.8475,302.5978,409.5073,1167.7962,454.4504,711.2368,613.1592,750.5164,693.2796,746.819,527.5285,500.2525,1322.5,1756.178,892.449,641.8205,26,3454.4892,1144.6911,0,1853.8448,704.2859,3512.6591,2.9,0,0,20523.4923,0,0,0,0,0,0,19.36,0,0
0,429.0108,-5.2,54,0,0,630.3021,51,710.2858,2739.8139,991.3523,4745.3337,298.2608,412.3134,1180.2811,470.1789,689.1734,623.4963,760.0452,685.142,731.7209,527.1577,494.7284,1301.7749,1746.7593,898.57,640.3266,27,3483.7838,1090.2994,0,1867.0894,702.5412,3556.0776,1.6,0,1,20620.9137,0,0,0,0,0,0,27.04,0,0
0,434.1726,-5.8,28,0,0,650.0474,52,723.9464,2757.503,953.1996,4775.0704,288.5762,402.6155,1171.9583,451.7634,663.4489,636.0671,768.6048,681.5611,748.8319,519.202,496.2779,1298.267,1760.4701,884.6295,647.3592,29,3502.4904,1091.5168,0,1899.451,699.2396,3567.5378,2.1,0,0,20732.748,0,0,0,0,1,0,33.64,0,0
0,417.6675,-6.4,21,0,0,671.1149,56,722.0812,2772.7609,957.8903,4815.8483,285.7222,407.4006,1184.0139,464.014,662.989,631.7989,754.1195,681.0465,757.3202,507.8375,502.6214,1314.0017,1754.8118,901.255,640.2234,25,3491.2571,1121.5832,0,1887.8221,683.5991,3579.102,1.7,0,5,20799.6178,0,0,0,0,0,0,40.96,0,0
0,438.2313,-7,9,0,0,687.2134,59,724.244,2780.6139,965.8599,4798.7789,302.9079,390.0664,1176.7656,494.9173,675.5828,633.0392,759.2225,687.0972,749.408,493.8672,504.5646,1299.2547,1754.4657,904.8807,632.5592,21,3487.9432,1092.3598,0,1884.7284,719.0592,3579.6345,1.6,0,2,20762.1849,0,0,0,0,0,0,49,0,0
0,446.1406,-7.2,35,0,10,678.9458,61,723.0045,2803.1913,970.6791,4752.0265,307.4638,397.9289,1212.531,507.3804,685.3887,631.4011,770.3506,698.4787,742.6971,502.8778,478.4149,1301.6667,1779.2022,894.8631,656.7043,30,3518.3709,1133.1607,0,1880.5437,708.5429,3579.2221,1.3,0,3,20826.7544,0,0,0,0,0,0,51.84,0,0
0,440.6551,-7.4,64,0,565,675.2878,59,709.2058,2795.1302,1008.9347,4772.6754,291.5509,409.5458,1226.4843,445.032,683.1681,659.0093,793.6769,712.693,762.1957,530.6742,483.2726,1292.5421,1789.8582,915.6993,666.4392,24,3487.6214,1113.8521,0,1910.9327,727.9901,3560.5171,0.3,0,2,20835.7614,0,0,0,0,0,0,54.76,0,0
0,459.447,-7.8,173,0,892,674.2249,55,731.2445,2756.9281,996.9741,4694.4118,301.4263,434.1096,1238.8622,460.1583,683.3059,642.1534,819.6501,696.985,789.6308,536.3459,523.1746,1361.1127,1791.7569,926.5137,722.7125,22,3454.61,1165.0858,0,1890.5477,774.9457,3569.0227,2.1,0,1,20757.2521,0,0,0,0,0,0,60.84,0,0
0,430.9352,-7.7,344,0,2435,658.9151,54,802.7161,2652.1441,1149.7792,4636.7636,352.3485,484.3968,1310.0714,487.1381,743.9412,697.5645,858.7583,772.7932,895.0344,598.5327,534.9,1453.0328,1801.4965,1025.6266,779.1232,21,3324.0483,1267.5847,0,1902.6712,844.6391,3455.4277,2,0,0,20535.6556,0,0,0,0,0,0,59.29,0,0
2,644.902,-7.6,712,0,4472,743.7441,55,924.3551,2519.3405,1208.1979,4270.768,375.8258,517.2983,1263.8432,436.3641,925.8083,728.622,869.331,936.5414,1018.9741,643.2286,533.7396,1426.351,1648.7732,1119.5196,843.9229,25,2847.9055,1304.7471,0,1705.8362,913.6478,3084.5751,1.6,0,1,18767.3927,0,0,0,0,0,0,57.76,0,0
0,672.8843,-6.9,484,5,2597,686.4385,55,1035.5256,2482.0831,1250.4559,3956.3774,376.2878,549.8313,1285.0733,468.4626,940.7677,767.7525,922.4688,915.2747,1103.368,736.8433,562.8275,1395.7268,1612.2712,1181.4821,895.3672,23,2662.0406,1391.9837,0,1671.153,1001.3734,2871.5283,1.7,0,1,17936.2537,0,0,0,0,0,1,47.61,0,0
0,744.7539,-4,332,0,1361,754.2041,55,1173.343,2511.324,1312.3121,3960.7385,362.6595,514.519,1342.5714,509.9497,1009.0316,765.2355,859.6573,943.9601,1166.6949,746.2477,586.9194,1439.9264,1640.1081,1159.787,910.2718,20,2688.0373,1392.7046,0,1675.3203,1056.6613,2821.1083,1.2,0,2,18079.1343,0,0,0,0,0,0,16,0,0
2,878.6157,-1.4,306,0,1430,863.6813,44,1104.404,2534.5863,1295.4737,4061.4116,430.8532,551.6107,1418.3272,517.4044,1043.2783,776.9227,906.669,946.7855,1122.7146,717.0376,593.273,1466.3247,1662.9091,1156.4928,919.8563,32,2626.2692,1475.7007,0,1684.9537,1081.0416,2868.6999,1.5,0,0,18323.4817,0,0,0,0,0,0,1.96,0,0
