"y","temp","rain","wind","wet","cloud","dust","temp.sqr","sunny","semester","past_rent","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X18_19","X19_20","X22_23","X23_24","weekend","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f15","f30","f40","f55","f60","f65","f70","bus_passenger","sub_passenger"
0,-6.9,0,1.7,55,1,23,47.61,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,216.2132,672.8843,2482.0831,2662.0406,1612.2712,1395.7268,1181.4821,1250.4559,1103.368,1001.3734,736.8433,549.8313,922.4688,376.2878,686.4385,1671.153,940.7677,895.3672,767.7525,562.8275,1391.9837,484,2597
1,-4,0,1.2,55,2,20,16,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,235.361,744.7539,2511.324,2688.0373,1640.1081,1439.9264,1159.787,1312.3121,1166.6949,1056.6613,746.2477,514.519,859.6573,362.6595,754.2041,1675.3203,1009.0316,910.2718,765.2355,586.9194,1392.7046,332,1361
2,-1.4,0,1.5,44,0,32,1.96,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,238.8017,878.6157,2534.5863,2626.2692,1662.9091,1466.3247,1156.4928,1295.4737,1122.7146,1081.0416,717.0376,551.6107,906.669,430.8532,863.6813,1684.9537,1043.2783,919.8563,776.9227,593.273,1475.7007,306,1430
0,0.9,0,2.1,36,2,38,0.81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,211.5678,857.3689,2710.3982,2693.7614,1720.4887,1510.9998,1224.5282,1293.3652,1154.8022,1075.5495,739.0346,541.5435,926.741,371.4619,1014.0743,1625.2388,1013.2716,921.7864,798.234,622.8533,1309.883,350,1601
3,1.7,0,2.8,43,4,35,2.89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,255.8632,776.4583,2856.6664,2721.8669,1717.156,1460.7442,1210.1774,1311.0648,1217.4117,1066.5346,759.8518,542.9097,956.0724,477.6398,1117.9918,1699.0385,1056.2872,930.1997,807.4246,629.8864,1360.3603,407,1661
2,2,0,2.4,43,6,37,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,208.5832,774.643,2913.5869,2828.2211,1716.8676,1520.8883,1277.6667,1334.6582,1235.0978,1092.2724,737.439,541.6243,924.2738,405.9336,1331.7675,1718.2784,1152.2567,1000.6554,841.7481,617.1358,1314.2719,409,1746
1,2.2,0,2.2,48,6,33,4.84,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,239.3069,862.0225,3048.8963,2861.655,1743.0036,1563.615,1279.4113,1273.3366,1182.228,1004.7152,739.1344,503.9378,908.7911,421.9394,1509.9943,1732.9643,1115.5868,964.4287,844.4154,633.3601,1320.5806,475,2078
2,2.3,0,2.4,49,7,37,5.29,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,243.6479,1113.7642,3128.9349,2945.7799,1758.573,1541.2622,1264.2411,1286.7302,1200.9963,931.7262,703.575,509.5979,924.7538,401.7319,1773.7533,1653.7936,1060.8693,913.6478,837.3723,575.3131,1322.5985,576,2675
1,1.6,0,3,56,8,38,2.56,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.0525,1462.203,3566.9292,3144.4974,1832.8592,1580.843,1260.9816,1265.1751,1119.0981,862.4286,662.4177,528.022,918.6571,470.282,2060.307,1699.6399,1050.205,912.9846,794.8837,591.3638,1304.803,626,3455
5,1.3,0,1.9,58,9,31,1.69,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,224.4997,1744.4481,4113.3908,3613.3573,2164.098,1658.274,1358.0766,1371.9742,1149.0736,922.902,717.9191,510.3344,933.1072,458.8049,2215.459,2191.8572,1075.355,952.0257,790.7419,613.0449,1259.3332,939,4126
