"y","temp","rain","wind","wet","cloud","temp.sqr","sunny","semester","past_rent","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m0","m10","m5","m25","m30","m35","m40","m45","m55","m60","m65","m70","f15","f20","f25","f30","f40","f45","f50","f55","f65","bus_passenger","sub_passenger"
2,-7.7,0,2,54,0,59.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.1381,224.833,430.9352,3324.0483,1801.4965,1453.0328,1025.6266,1149.7792,844.6391,598.5327,484.3968,858.7583,658.9151,4636.7636,3455.4277,1902.6712,743.9412,802.7161,772.7932,779.1232,534.9,344,2435
4,-7.6,0,1.6,55,1,57.76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436.3641,201.3988,644.902,2847.9055,1648.7732,1426.351,1119.5196,1208.1979,913.6478,643.2286,517.2983,869.331,743.7441,4270.768,3084.5751,1705.8362,925.8083,924.3551,936.5414,843.9229,533.7396,712,4472
0,-6.9,0,1.7,55,1,47.61,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468.4626,216.2132,672.8843,2662.0406,1612.2712,1395.7268,1181.4821,1250.4559,1001.3734,736.8433,549.8313,922.4688,686.4385,3956.3774,2871.5283,1671.153,940.7677,1035.5256,915.2747,895.3672,562.8275,484,2597
2,-4,0,1.2,55,2,16,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,509.9497,235.361,744.7539,2688.0373,1640.1081,1439.9264,1159.787,1312.3121,1056.6613,746.2477,514.519,859.6573,754.2041,3960.7385,2821.1083,1675.3203,1009.0316,1173.343,943.9601,910.2718,586.9194,332,1361
1,-1.4,0,1.5,44,0,1.96,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,517.4044,238.8017,878.6157,2626.2692,1662.9091,1466.3247,1156.4928,1295.4737,1081.0416,717.0376,551.6107,906.669,863.6813,4061.4116,2868.6999,1684.9537,1043.2783,1104.404,946.7855,919.8563,593.273,306,1430
1,0.9,0,2.1,36,2,0.81,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,458.3968,211.5678,857.3689,2693.7614,1720.4887,1510.9998,1224.5282,1293.3652,1075.5495,739.0346,541.5435,926.741,1014.0743,4233.7315,2922.4458,1625.2388,1013.2716,1121.1977,1008.2463,921.7864,622.8533,350,1601
3,1.7,0,2.8,43,4,2.89,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,554.3713,255.8632,776.4583,2721.8669,1717.156,1460.7442,1210.1774,1311.0648,1066.5346,759.8518,542.9097,956.0724,1117.9918,4305.2457,2941.0495,1699.0385,1056.2872,1156.7422,1044.9356,930.1997,629.8864,407,1661
4,2,0,2.4,43,6,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,451.932,208.5832,774.643,2828.2211,1716.8676,1520.8883,1277.6667,1334.6582,1092.2724,737.439,541.6243,924.2738,1331.7675,4551.2047,2947.6832,1718.2784,1152.2567,1176.4602,1042.1027,1000.6554,617.1358,409,1746
2,2.2,0,2.2,48,6,4.84,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,518.499,239.3069,862.0225,2861.655,1743.0036,1563.615,1279.4113,1273.3366,1004.7152,739.1344,503.9378,908.7911,1509.9943,4622.7266,3001.5806,1732.9643,1115.5868,1213.4825,987.4939,964.4287,633.3601,475,2078
7,2.3,0,2.4,49,7,5.29,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,527.9048,243.6479,1113.7642,2945.7799,1758.573,1541.2622,1264.2411,1286.7302,931.7262,703.575,509.5979,924.7538,1773.7533,4704.3098,3014.8984,1653.7936,1060.8693,1165.018,1036.4946,913.6478,575.3131,576,2675
7,1.6,0,3,56,8,2.56,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,478.9472,221.0525,1462.203,3144.4974,1832.8592,1580.843,1260.9816,1265.1751,862.4286,662.4177,528.022,918.6571,2060.307,5077.701,3165.3341,1699.6399,1050.205,1125.9201,969.4632,912.9846,591.3638,626,3455
5,1.3,0,1.9,58,9,1.69,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,486.4166,224.4997,1744.4481,3613.3573,2164.098,1658.274,1358.0766,1371.9742,922.902,717.9191,510.3344,933.1072,2215.459,5727.6594,3976.3613,2191.8572,1075.355,1187.7941,969.3633,952.0257,613.0449,939,4126
2,1.3,0,2.6,65,9,1.69,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,477.2858,220.2854,1583.4592,3726.0957,2131.5452,1653.4535,1230.2638,1213.1551,864.4499,650.9527,491.4713,876.745,2102.8311,5850.444,4043.4377,2116.7063,979.0794,1112.8779,904.3468,909.9748,628.8605,729,2725
1,1.2,0,1.8,68,9,1.44,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,497.7466,229.7288,1381.3895,3683.61,2130.5112,1583.3262,1089.3896,1167.5954,816.706,590.3687,479.5888,848.6156,1698.0712,5604.409,3963.7459,2055.64,899.9572,1040.8249,849.9934,842.1525,628.7436,627,3443
0,1.1,0,2.8,74,9,1.21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,531.9859,245.5316,873.1528,3461.494,1987.1486,1515.8027,994.5742,1045.0666,776.5617,607.2116,450.1245,876.2562,1002.9422,5014.7695,3702.9449,1898.2962,788.8963,999.9461,837.7435,787.7225,618.7889,723,3962
