"y","m30","f20","f15","m25","temp","X10_11","sub_passenger","X9_10","m20","m50","bus_passenger","semester","f50","wet","rain","f45","m5","f70","f30","past_rent","f40","m45","f0","m35","m0","m55","m70","f35","m40","most_use","f55","f65","m65","m60","cloud","f60","f25","wind","X8_9","dust","sunny","X7_8","X11_12","X15_16","temp.sqr","X13_14","X16_17","X14_15"
0,1884.5123,4706.2114,767.9079,3555.0641,-3.8,0,1183,0,2838.5561,800.7484,290,0,799.6374,49,0,827.7268,642.8577,1165.0347,1842.3086,0,795.783,1039.9894,392.1807,1342.2597,576.0977,763.2258,793.1548,1203.7896,895.4819,20915.2501,737.9257,564.4722,434.2469,558.7961,0,683.2331,3542.5483,2.1,0,33,0,0,0,0,14.44,0,0,0
0,1756.178,4753.8475,635.5786,3454.4892,-4.4,0,296,0,2702.1775,746.819,116,0,693.2796,48,0,705.2005,412.8902,1144.6911,1853.8448,0,711.2368,983.0021,302.5978,1322.5,454.4504,704.2859,750.5164,1167.7962,892.449,20523.4923,641.8205,500.2525,409.5073,527.5285,0,613.1592,3512.6591,2.9,0,26,0,0,0,0,19.36,0,0,0
0,1746.7593,4745.3337,630.3021,3483.7838,-5.2,0,0,0,2739.8139,731.7209,54,0,685.142,51,0,710.2858,429.0108,1090.2994,1867.0894,0,689.1734,991.3523,298.2608,1301.7749,470.1789,702.5412,760.0452,1180.2811,898.57,20620.9137,640.3266,494.7284,412.3134,527.1577,1,623.4963,3556.0776,1.6,0,27,0,0,0,0,27.04,0,0,0
0,1760.4701,4775.0704,650.0474,3502.4904,-5.8,0,0,0,2757.503,748.8319,28,0,681.5611,52,0,723.9464,434.1726,1091.5168,1899.451,0,663.4489,953.1996,288.5762,1298.267,451.7634,699.2396,768.6048,1171.9583,884.6295,20732.748,647.3592,496.2779,402.6155,519.202,0,636.0671,3567.5378,2.1,0,29,0,0,0,0,33.64,0,0,0
0,1754.8118,4815.8483,671.1149,3491.2571,-6.4,0,0,0,2772.7609,757.3202,21,0,681.0465,56,0,722.0812,417.6675,1121.5832,1887.8221,0,662.989,957.8903,285.7222,1314.0017,464.014,683.5991,754.1195,1184.0139,901.255,20799.6178,640.2234,502.6214,407.4006,507.8375,5,631.7989,3579.102,1.7,0,25,0,0,0,0,40.96,0,0,0
0,1754.4657,4798.7789,687.2134,3487.9432,-7,0,0,0,2780.6139,749.408,9,0,687.0972,59,0,724.244,438.2313,1092.3598,1884.7284,0,675.5828,965.8599,302.9079,1299.2547,494.9173,719.0592,759.2225,1176.7656,904.8807,20762.1849,632.5592,504.5646,390.0664,493.8672,2,633.0392,3579.6345,1.6,0,21,0,0,0,0,49,0,0,0
0,1779.2022,4752.0265,678.9458,3518.3709,-7.2,0,10,0,2803.1913,742.6971,35,0,698.4787,61,0,723.0045,446.1406,1133.1607,1880.5437,0,685.3887,970.6791,307.4638,1301.6667,507.3804,708.5429,770.3506,1212.531,894.8631,20826.7544,656.7043,478.4149,397.9289,502.8778,3,631.4011,3579.2221,1.3,0,30,0,0,0,0,51.84,0,0,0
0,1789.8582,4772.6754,675.2878,3487.6214,-7.4,0,565,0,2795.1302,762.1957,64,0,712.693,59,0,709.2058,440.6551,1113.8521,1910.9327,0,683.1681,1008.9347,291.5509,1292.5421,445.032,727.9901,793.6769,1226.4843,915.6993,20835.7614,666.4392,483.2726,409.5458,530.6742,2,659.0093,3560.5171,0.3,0,24,0,0,0,0,54.76,0,0,0
0,1791.7569,4694.4118,674.2249,3454.61,-7.8,0,892,0,2756.9281,789.6308,173,0,696.985,55,0,731.2445,459.447,1165.0858,1890.5477,0,683.3059,996.9741,301.4263,1361.1127,460.1583,774.9457,819.6501,1238.8622,926.5137,20757.2521,722.7125,523.1746,434.1096,536.3459,1,642.1534,3569.0227,2.1,0,22,0,0,0,0,60.84,0,0,0
0,1801.4965,4636.7636,658.9151,3324.0483,-7.7,0,2435,0,2652.1441,895.0344,344,0,772.7932,54,0,802.7161,430.9352,1267.5847,1902.6712,0,743.9412,1149.7792,352.3485,1453.0328,487.1381,844.6391,858.7583,1310.0714,1025.6266,20535.6556,779.1232,534.9,484.3968,598.5327,0,697.5645,3455.4277,2,0,21,0,1,0,0,59.29,0,0,0
