"y","temp","rain","wind","wet","cloud","dust","sunny","semester","past_rent","X4_5","X5_6","X6_7","X7_8","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X22_23","X23_24","m10","m5","m35","m45","m55","m70","f25","f30","f60","f65","bus_passenger","sub_passenger","weekend"
0,2.2,0,2.2,48,6,33,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,239.3069,862.0225,1563.615,1273.3366,1004.7152,908.7911,3001.5806,1732.9643,844.4154,633.3601,475,2078,0
3,2.3,0,2.4,49,7,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,243.6479,1113.7642,1541.2622,1286.7302,931.7262,924.7538,3014.8984,1653.7936,837.3723,575.3131,576,2675,0
1,1.6,0,3,56,8,38,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,221.0525,1462.203,1580.843,1265.1751,862.4286,918.6571,3165.3341,1699.6399,794.8837,591.3638,626,3455,0
3,1.3,0,1.9,58,9,31,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,224.4997,1744.4481,1658.274,1371.9742,922.902,933.1072,3976.3613,2191.8572,790.7419,613.0449,939,4126,0
0,1.3,0,2.6,65,9,21,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,220.2854,1583.4592,1653.4535,1213.1551,864.4499,876.745,4043.4377,2116.7063,784.2587,628.8605,729,2725,0
0,1.2,0,1.8,68,9,22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,229.7288,1381.3895,1583.3262,1167.5954,816.706,848.6156,3963.7459,2055.64,732.2397,628.7436,627,3443,0
2,1.1,0,2.8,74,9,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.5316,873.1528,1515.8027,1045.0666,776.5617,876.2562,3702.9449,1898.2962,753.9444,618.7889,723,3962,0
0,0.9,0,1.5,75,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,229.4291,609.4041,1424.2559,1037.7303,744.7992,871.3815,3708.7899,1918.2531,721.0197,598.7396,362,1166,0
0,0.6,0,1.3,75,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,191.3508,470.2152,1333.3334,970.2347,743.2161,783.018,3580.1829,1884.8524,635.2793,505.2386,203,319,0
0,0.7,0,1.6,81,9,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.9263,444.4648,1298.8684,963.4141,709.9803,782.3677,3637.2328,1887.471,641.0496,512.173,65,1,0
0,0.7,0,1.3,81,9,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.775,428.2473,1292.2232,961.2036,705.5771,793.1148,3665.298,1892.3083,638.1279,519.4533,17,0,0
0,-0.4,0,2.4,77,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.3926,439.4328,1299.4078,972.9738,734.9129,772.5876,3660.8975,1920.5468,636.5435,506.6489,19,0,0
0,-1.6,0,2,78,0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.0297,445.6092,1304.0884,963.7398,700.7751,795.8666,3645.3716,1906.5811,633.1964,506.116,13,0,0
0,-2.2,0,2.5,76,0,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.9374,433.3701,1310.1349,1006.9669,705.018,775.9919,3644.9303,1913.1474,630.0459,492.5156,37,12,0
0,-2.9,0,3.3,74,0,30,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.7962,436.69,1302.2315,1001.119,727.137,811.6538,3658.787,1936.3364,652.5745,517.363,73,533,0
0,-3.6,0,2.6,73,0,33,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.3039,457.1604,1358.1896,1011.561,801.5231,810.804,3614.7621,1956.8949,665.3061,531.4881,165,879,0
1,-4,0,2.5,76,0,37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.6184,489.7856,1409.4014,1171.3598,948.0406,819.309,3485.6262,1936.5794,672.485,567.9657,409,2390,0
3,-4.6,0,1.9,75,0,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.3755,708.9889,1439.1881,1247.1875,923.6226,862.0225,3148.3347,1764.2484,761.902,569.5154,703,4454,0
3,-4.3,0,3.8,73,0,41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,219.8168,802.3288,1484.9312,1271.5629,1016.4731,895.6861,2878.7932,1700.6607,771.5786,623.2557,563,2763,0
0,-3.5,0,2.8,66,0,43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,260.7562,745.1764,1626.0089,1334.0195,1080.6244,882.974,2853.2876,1726.2785,805.8685,602.1127,339,1469,0
0,-1.9,0,3.2,55,0,42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,261.072,871.9803,1552.6038,1308.7639,997.706,842.2518,2936.7126,1713.4265,790.0707,563.289,308,1379,0
1,-0.6,0,2.5,45,0,43,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,199.9426,870.0727,1497.8116,1313.2655,1018.4863,896.2076,2971.0811,1695.3672,808.3733,586.3449,370,1599,0
1,-0.5,0,2.9,43,0,43,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,198.308,989.5104,1506.2213,1326.4952,1120.3341,894.3292,3010.1518,1759.9491,816.125,632.3722,467,1782,0
0,0,0,3.6,37,0,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,209.6076,937.4322,1569.0751,1339.2199,1063.6873,974.4273,2990.4077,1747.3041,843.3569,637.2655,409,1826,0
2,0.9,0,3.5,32,0,52,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,224.3073,1068.2919,1632.6032,1305.28,982.3819,873.5649,2983.4293,1740.7127,867.7802,665.3859,534,2153,0
0,0.7,0,3,29,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,240.5296,1374.2412,1582.6272,1227.5617,970.1476,877.7466,2975.8739,1672.2686,775.1386,578.8968,543,2758,0
2,-0.4,0,2.8,29,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,216.9394,1558.3154,1699.7198,1269.0243,951.0715,886.4459,3154.2415,1704.994,746.8165,591.7059,654,3630,0
3,-1.7,0,2.2,31,0,34,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,217.6107,1622.1074,1909.7167,1403.997,1041.3257,801.7977,3973.6604,2123.0683,745.109,622.002,905,4137,0
0,-2.6,0,0.7,35,0,33,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,230.4776,1557.8975,1760.4638,1246.116,889.6418,840.2927,4167.7493,2169.1348,746.7407,571.6492,730,2757,0
1,-2.5,0,2.5,34,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,222.8836,1269.1329,1628.7147,1224.347,829.998,790.273,4063.2589,2048.6651,732.5094,595.7314,652,3519,0
0,-3.5,0,0.8,37,0,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.7959,849.88,1508.3825,1122.9576,784.0163,824.7854,3757.592,1966.2933,705.2109,557.9976,824,4445,0
1,-4.4,0,1,41,0,39,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,214.2879,555.8951,1373.7068,1056.3934,754.1582,825.1418,3695.7545,2054.8981,719.7761,556.9318,384,1263,0
0,-5.1,0,1.5,42,0,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,198.6558,493.0383,1260.9501,961.1983,697.7786,772.3474,3633.3975,1900.2941,655.5735,481.9518,171,304,0
0,-5.6,0,1.3,45,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.0382,485.2308,1231.2925,961.5483,676.3594,781.3908,3617.2127,1906.1708,660.1451,476.1428,65,1,0
0,-6,0,1.3,48,6,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.7217,517.4785,1212.7513,949.3753,686.2011,782.5851,3654.633,1921.6897,660.0677,474.5378,17,0,0
0,-6.6,0,2.2,49,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.4463,493.4241,1215.3463,958.5225,687.2364,781.3408,3691.7005,1950.5218,644.3496,484.7861,19,0,0
0,-7,0,1,52,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.5291,500.7314,1226.9726,960.3698,688.3981,776.3321,3698.9595,1935.9849,642.6093,469.9149,13,0,0
0,-7.2,0,1.9,52,0,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.7273,499.6189,1211.9458,974.0201,712.1095,777.9506,3705.7365,1945.8215,650.1219,455.1418,37,12,0
0,-7.3,0,1.8,54,0,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.9366,481.4079,1239.7007,999.5204,711.5819,792.1598,3738.8821,1980.2451,656.8425,481.4927,73,533,0
0,-7.6,0,2.4,55,6,40,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.6708,500.7994,1245.02,990.0505,791.3077,812.1216,3706.9504,1947.9,689.5152,516.3436,165,879,0
1,-7.7,0,2.3,57,7,41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.8216,457.4312,1409.0259,1145.8054,825.7137,799.4512,3566.3979,1900.0812,709.0737,504.9579,409,2390,0
5,-7.5,0,2.6,58,7,44,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.6437,596.2558,1373.2947,1093.0194,885.5022,850.2804,3203.5405,1828.1569,763.5693,530.0965,703,4454,0
3,-6.4,0,0.9,56,7,31,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,205.3974,676.0576,1338.0577,1250.0208,987.0627,920.0955,2922.5586,1709.1042,786.12,565.6465,563,2763,0
0,-4.4,0,1.3,50,8,44,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,200.8817,755.8631,1448.5316,1269.4163,1022.4542,909.8634,2833.1156,1720.2381,826.4779,584.6982,339,1469,0
1,-2.4,0,1.5,46,10,46,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,238.5545,883.0221,1439.6284,1204.6195,1017.8358,936.9902,2958.7394,1617.9179,823.1101,623.0919,308,1379,0
0,-0.6,0,2.3,41,10,54,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,199.4795,757.1266,1483.1251,1232.9358,940.0276,978.1981,2968.0072,1683.5546,789.9385,619.2322,370,1599,0
