"y","temp","rain","wind","wet","snow","cloud","temp.sqr","sunny","past_rent","X5_6","X6_7","X7_8","X8_9","X9_10","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m10","m5","m20","m25","m30","m35","m45","m50","m65","m70","f0","f15","f20","f25","f30","f35","f40","f50","f60","f65","sub_passenger","f70"
0,-7.7,0,2,54,0,0,59.29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.833,430.9352,2652.1441,3324.0483,1801.4965,1453.0328,1149.7792,895.0344,484.3968,858.7583,352.3485,658.9151,4636.7636,3455.4277,1902.6712,1310.0714,743.9412,772.7932,697.5645,534.9,2435,1267.5847
1,-7.6,0,1.6,55,0,1,57.76,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.3988,644.902,2519.3405,2847.9055,1648.7732,1426.351,1208.1979,1018.9741,517.2983,869.331,375.8258,743.7441,4270.768,3084.5751,1705.8362,1263.8432,925.8083,936.5414,728.622,533.7396,4472,1304.7471
0,-6.9,0,1.7,55,0,1,47.61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,216.2132,672.8843,2482.0831,2662.0406,1612.2712,1395.7268,1250.4559,1103.368,549.8313,922.4688,376.2878,686.4385,3956.3774,2871.5283,1671.153,1285.0733,940.7677,915.2747,767.7525,562.8275,2597,1391.9837
2,-4,0,1.2,55,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.361,744.7539,2511.324,2688.0373,1640.1081,1439.9264,1312.3121,1166.6949,514.519,859.6573,362.6595,754.2041,3960.7385,2821.1083,1675.3203,1342.5714,1009.0316,943.9601,765.2355,586.9194,1361,1392.7046
0,-1.4,0,1.5,44,0,0,1.96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,238.8017,878.6157,2534.5863,2626.2692,1662.9091,1466.3247,1295.4737,1122.7146,551.6107,906.669,430.8532,863.6813,4061.4116,2868.6999,1684.9537,1418.3272,1043.2783,946.7855,776.9227,593.273,1430,1475.7007
0,0.9,0,2.1,36,0,2,0.81,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,211.5678,857.3689,2710.3982,2693.7614,1720.4887,1510.9998,1293.3652,1154.8022,541.5435,926.741,371.4619,1014.0743,4233.7315,2922.4458,1625.2388,1447.0067,1013.2716,1008.2463,798.234,622.8533,1601,1309.883
0,1.7,0,2.8,43,0,4,2.89,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,255.8632,776.4583,2856.6664,2721.8669,1717.156,1460.7442,1311.0648,1217.4117,542.9097,956.0724,477.6398,1117.9918,4305.2457,2941.0495,1699.0385,1398.3945,1056.2872,1044.9356,807.4246,629.8864,1661,1360.3603
1,2,0,2.4,43,0,6,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,208.5832,774.643,2913.5869,2828.2211,1716.8676,1520.8883,1334.6582,1235.0978,541.6243,924.2738,405.9336,1331.7675,4551.2047,2947.6832,1718.2784,1423.4154,1152.2567,1042.1027,841.7481,617.1358,1746,1314.2719
0,2.2,0,2.2,48,0,6,4.84,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,239.3069,862.0225,3048.8963,2861.655,1743.0036,1563.615,1273.3366,1182.228,503.9378,908.7911,421.9394,1509.9943,4622.7266,3001.5806,1732.9643,1458.7331,1115.5868,987.4939,844.4154,633.3601,2078,1320.5806
0,2.3,0,2.4,49,0,7,5.29,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,243.6479,1113.7642,3128.9349,2945.7799,1758.573,1541.2622,1286.7302,1200.9963,509.5979,924.7538,401.7319,1773.7533,4704.3098,3014.8984,1653.7936,1330.0928,1060.8693,1036.4946,837.3723,575.3131,2675,1322.5985
1,1.6,0,3,56,0,8,2.56,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,221.0525,1462.203,3566.9292,3144.4974,1832.8592,1580.843,1265.1751,1119.0981,528.022,918.6571,470.282,2060.307,5077.701,3165.3341,1699.6399,1307.0461,1050.205,969.4632,794.8837,591.3638,3455,1304.803
0,1.3,0,1.9,58,0,9,1.69,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,224.4997,1744.4481,4113.3908,3613.3573,2164.098,1658.274,1371.9742,1149.0736,510.3344,933.1072,458.8049,2215.459,5727.6594,3976.3613,2191.8572,1477.9913,1075.355,969.3633,790.7419,613.0449,4126,1259.3332
0,1.3,0,2.6,65,0,9,1.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,220.2854,1583.4592,4065.1125,3726.0957,2131.5452,1653.4535,1213.1551,1018.1303,491.4713,876.745,461.8789,2102.8311,5850.444,4043.4377,2116.7063,1431.2488,979.0794,904.3468,784.2587,628.8605,2725,1230.6667
0,1.2,0,1.8,68,0,9,1.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,229.7288,1381.3895,3789.5552,3683.61,2130.5112,1583.3262,1167.5954,952.5821,479.5888,848.6156,466.3662,1698.0712,5604.409,3963.7459,2055.64,1380.969,899.9572,849.9934,732.2397,628.7436,3443,1215.3251
0,1.1,0,2.8,74,0,9,1.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,245.5316,873.1528,3060.5916,3461.494,1987.1486,1515.8027,1045.0666,884.6691,450.1245,876.2562,408.4166,1002.9422,5014.7695,3702.9449,1898.2962,1354.3022,788.8963,837.7435,753.9444,618.7889,3962,1199.8616
0,0.9,0,1.5,75,0,8,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,229.4291,609.4041,2813.8935,3518.1665,1926.8968,1424.2559,1037.7303,845.0835,441.0624,871.3815,403.045,810.8642,4899.2655,3708.7899,1918.2531,1286.4655,740.4864,792.4223,721.0197,598.7396,1166,1186.8485
0,0.6,0,1.3,75,0,9,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,191.3508,470.2152,2724.7673,3416.9302,1768.6366,1333.3334,970.2347,749.8151,424.8363,783.018,343.2253,624.7277,4984.0756,3580.1829,1884.8524,1181.4152,711.5363,717.6586,635.2793,505.2386,319,1145.3585
