"y","past_rent","station_dist","sub_passenger","bus_passenger","temp","station_type","m50","m30","f45","m20","f70","m45","f0","wet","f15","f50","f40","m40","m0","X8_9","m55","m5","f20","semester","m60","f30","wind","m35","f65","f60","f55","m65","f25","m70","m25","f35","dust","X17_18","cloud","most_use","X9_10","sunny","X10_11","rain","temp.sqr","X19_20","X13_14","X18_19"
2,2,51,1737,435,34,0,846.5669,1936.8484,929.8064,3005.2635,1189.7418,1103.9466,627.6892,53,1123.1486,795.3011,944.1888,1039.2979,450.5145,0,802.3422,652.8003,4559.8898,0,563.0326,1753.5834,3,1488.8656,557.0322,689.6064,752.4958,448.1733,3290.2041,746.4235,3147.1496,1368.9415,32,0,5,20550.7459,0,1,0,0,1156,0,0,0
5,3,611,3217,596,18,0,1021.9664,2415.8067,1196.3439,5358.2628,1403.087,1438.3367,487.2171,73,2058.0238,1021.7511,1085.3014,1314.5112,375.8186,0,1008.7174,1579.5935,7717.1357,1,675.0515,2368.6072,2,1824.7608,652.9699,736.8537,928.9778,484.5792,4755.8356,958.3083,4633.9088,1673.5057,21,0,7,30747.8233,0,1,0,0,324,0,0,0
3,2,232,2922,696,29.9,0,904.7451,2126.7973,1000.5697,4408.3291,1371.6103,1208.3388,469.9912,70,1689.3429,920.09,935.7437,1060.8754,497.7516,0,901.7959,1177.8566,6441.2314,0,655.8482,2033.1742,2.7,1534.301,577.4527,743.9396,878.4829,482.032,4158.4603,774.2397,3835.9608,1403.2111,38,0,7,25941.4652,0,1,0,0,894.01,0,0,0
1,3,17,14,48,21.1,1,867.7591,1920.817,863.1874,3906.6121,1194.4691,1002.2002,405.2339,82,1113.4182,752.5707,777.2233,956.7787,415.5415,0,740.8496,767.5047,6359.1552,1,571.4924,1960.2003,2.1,1337.7045,513.5239,674.6865,642.6892,392.5765,3980.5556,866.9155,3807.1621,1354.828,23,0,7,24627.0348,0,1,0,0,445.21,0,0,0
1,0,554,2223,447,22.7,0,835.567,2097.9043,983.8942,3920.2108,1170.9856,1205.7432,824.319,94,1578.5692,903.3429,1116.1337,1081.2273,699.0001,0,874.4537,1214.3066,5806.0646,1,592.9866,2069.3562,2.8,1646.5739,587.1315,711.5135,813.074,431.0058,3981.3285,894.4558,3735.0206,1541.0971,10,0,10,24797.556,0,1,0,0,515.29,0,0,0
2,0,116,2399,445,4.2,1,925.6789,1855.3954,858.1266,3413.52,1180.492,1166.2146,438.7084,75,1220.7905,829.5124,869.0331,1004.9691,528.705,0,772.8032,949.5915,5507.7092,1,642.4157,1977.6853,2.1,1335.504,593.0334,668.7623,726.1173,450.6998,3705.2642,853.8299,3475.0743,1317.4889,68,0,6,22587.6413,0,1,0,0,17.64,0,0,0
0,3,83,0,51,7,0,729.8469,1902.3567,741.0491,3729.4253,1194.8869,952.2935,349.8631,71,1123.4323,708.6056,743.317,912.8331,440.3291,0,746.0287,904.0299,5787.147,1,517.1423,1881.1644,1.2,1318.34,535.6598,602.411,600.2823,400.6121,3747.1154,794.698,3727.7888,1203.4335,30,0,7,23296.7711,0,1,0,0,49,0,0,0
0,0,17,0,424,25.3,1,1040.7287,1648.0091,1128.5939,3253.2253,1373.4963,1249.753,568.9124,95,1127.9332,1087.9869,1173.439,1242.8365,511.4682,0,987.9277,683.1564,4496.1975,0,724.9629,1687.502,3,1532.2609,573.5167,743.3596,998.7411,457.5783,3024.6095,968.9584,2657.3891,1391.1295,10,0,10,19690.3229,0,0,0,7.3,640.09,0,0,0
1,0,232,786,188,-8.4,0,756.6488,1870.0313,770.3505,2903.0106,1246.6346,1088.9285,325.8874,64,717.485,752.7009,827.9888,884.8565,409.6046,0,753.2937,473.9299,5121.2767,0,580.6522,2065.9698,2.7,1305.1921,539.5916,646.8691,702.1948,414.7382,3863.7286,898.9413,3540.5866,1269.4038,34,0,2,21939.1995,0,0,0,0,70.56,0,0,0
13,13,37,3214,739,29.1,0,933.6646,2215.0355,988.1547,4480.4448,1314.0715,1096.2038,458.6289,74,1732.9816,931.6275,936.1138,1155.0415,532.443,0,921.7482,1170.858,6468.664,0,624.5005,2143.558,1,1661.9516,616.4954,678.9701,857.2434,429.7049,4335.8032,872.2125,4135.3633,1478.2038,26,0,6,26919.0242,0,0,0,0,846.81,0,0,0
0,0,113,2455,368,-6.7,0,890.1211,1896.8706,832.1592,2904.87,1362.7309,1142.2567,375.7693,62,767.4629,839.5228,892.2192,1066.4867,384.7841,0,878.6896,571.895,4991.4113,0,545.845,1870.7181,2.3,1355.7347,551.9549,686.807,769.2458,456.4421,3598.3117,854.6019,3448.709,1335.0701,43,0,3,21401.6955,0,0,0,0,44.89,0,0,0
